dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,smote,hc,aic-g,6.7,0.026,216,1836,864,las_paredes.temp_min_t,3.27,0.65,0.68,0.87,0.52,0.9
dacc-temp,1,20,5517,smote,hc,bge,49.707,0.033,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc-spring,1,34,1829,smote,hc,aic-g,7.524,0.028,242,2057,968,la_llave.temp_min_t,3.5,0.67,0.73,0.88,0.62,0.91
dacc,1,35,5517,smote,hc,loglik-g,29.738,0.084,390,3315,1560,junin.temp_min_t,2.04,0.91,0.65,0.94,0.8,0.98
dacc-temp,1,20,5517,smote,hc,bge,17.986,0.016,496,4216,1984,agua_amarga.temp_min_t,2.32,0.87,0.74,0.92,0.7,0.95
dacc-spring,1,34,1829,smote,hc,bge,27.679,0.018,118,1003,472,junin.temp_min_t,2.36,0.78,0.49,0.94,0.62,0.98
dacc-temp,1,20,5517,smote,hc,bge,22.743,0.022,567,4819,2268,las_paredes.temp_min_t,2.99,0.82,0.75,0.9,0.71,0.93
dacc-temp,1,20,5517,smote,hc,bge,27.41,0.022,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.79,0.89,0.75,0.92
dacc,1,35,5517,smote,hc,loglik-g,64.614,0.183,1057,8984,4228,tunuyan.temp_min_t,2.72,0.86,0.82,0.91,0.88,0.95
dacc,1,35,5517,smote,hc,loglik-g,27.71,0.083,496,4216,1984,agua_amarga.temp_min_t,2.11,0.89,0.7,0.92,0.75,0.96
dacc,1,35,5517,smote,hc,loglik-g,33.4,0.102,567,4819,2268,las_paredes.temp_min_t,2.87,0.84,0.75,0.9,0.71,0.93
dacc-spring,1,34,1829,smote,hc,bge,118.986,0.033,348,2958,1392,tunuyan.temp_min_t,3.14,0.68,0.65,0.87,0.83,0.95
dacc,1,35,5517,smote,hc,loglik-g,39.886,0.122,698,5933,2792,la_llave.temp_min_t,2.98,0.85,0.81,0.9,0.75,0.92
dacc-spring,1,34,1829,smote,hc,bge,45.458,0.015,163,1385,652,agua_amarga.temp_min_t,2.84,0.71,0.6,0.91,0.5,0.94
dacc,1,35,5517,smote,hc,aic-g,14.45,0.048,390,3315,1560,junin.temp_min_t,2.11,0.91,0.73,0.94,0.77,0.97
dacc,1,35,5517,smote,hc,aic-g,47.213,0.144,1057,8984,4228,tunuyan.temp_min_t,2.69,0.86,0.83,0.91,0.88,0.95
dacc-spring,1,34,1829,smote,hc,bge,65.487,0.021,216,1836,864,las_paredes.temp_min_t,3.14,0.69,0.69,0.9,0.61,0.93
dacc,1,35,5517,smote,hc,aic-g,18.611,0.06,496,4216,1984,agua_amarga.temp_min_t,2.13,0.89,0.73,0.92,0.73,0.95
dacc,1,35,5517,smote,hc,aic-g,24.826,0.071,567,4819,2268,las_paredes.temp_min_t,2.8,0.84,0.71,0.9,0.74,0.94
dacc-spring,1,34,1829,smote,hc,bge,67.376,0.022,242,2057,968,la_llave.temp_min_t,3.64,0.65,0.74,0.87,0.61,0.9
dacc,1,35,5517,smote,hc,aic-g,31.565,0.096,698,5933,2792,la_llave.temp_min_t,2.99,0.84,0.81,0.9,0.76,0.93
dacc,1,35,5517,smote,hc,bge,159.1,0.055,390,3315,1560,junin.temp_min_t,2.07,0.91,0.68,0.94,0.8,0.98
dacc,1,35,5517,smote,hc,bge,694.714,0.125,1057,8984,4228,tunuyan.temp_min_t,2.7,0.86,0.82,0.91,0.88,0.95
dacc,1,35,5517,smote,hc,bge,229.495,0.053,496,4216,1984,agua_amarga.temp_min_t,2.11,0.89,0.71,0.92,0.76,0.96
dacc,1,35,5517,smote,hc,bge,239.164,0.064,567,4819,2268,las_paredes.temp_min_t,2.83,0.84,0.74,0.9,0.73,0.94
dacc,1,35,5517,smote,hc,bge,328.549,0.071,698,5933,2792,la_llave.temp_min_t,2.96,0.85,0.8,0.9,0.76,0.93
dacc-temp,1,20,5517,smote,tabu,bic-g,1.107,0.011,390,3315,1560,junin.temp_min_t,2.17,0.9,0.75,0.94,0.76,0.97
dacc-spring,1,34,1829,smote,tabu,bic-g,1.882,0.011,118,1003,472,junin.temp_min_t,2.34,0.79,0.47,0.93,0.53,0.97
dacc-temp,1,20,5517,smote,tabu,bic-g,3.337,0.03,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.89,0.84,0.93
dacc-temp,1,20,5517,smote,tabu,bic-g,2.06,0.015,496,4216,1984,agua_amarga.temp_min_t,2.29,0.88,0.78,0.92,0.7,0.94
dacc,1,35,5517,smote,tabu,bic-g,9.884,0.037,390,3315,1560,junin.temp_min_t,2.02,0.91,0.64,0.94,0.85,0.98
dacc-spring,1,34,1829,smote,tabu,bic-g,8.463,0.031,348,2958,1392,tunuyan.temp_min_t,3.24,0.66,0.68,0.87,0.79,0.94
dacc-temp,1,20,5517,smote,tabu,bic-g,1.732,0.016,567,4819,2268,las_paredes.temp_min_t,2.99,0.82,0.75,0.9,0.72,0.93
dacc-spring,1,34,1829,smote,tabu,bic-g,2.967,0.013,163,1385,652,agua_amarga.temp_min_t,2.76,0.72,0.6,0.91,0.51,0.94
dacc-temp,1,20,5517,smote,tabu,bic-g,2.241,0.02,698,5933,2792,la_llave.temp_min_t,3.11,0.83,0.81,0.9,0.75,0.92
dacc-temp,1,20,5517,smote,tabu,loglik-g,2.051,0.017,390,3315,1560,junin.temp_min_t,2.17,0.9,0.75,0.94,0.75,0.96
dacc-spring,1,34,1829,smote,tabu,bic-g,3.758,0.018,216,1836,864,las_paredes.temp_min_t,2.81,0.71,0.65,0.91,0.67,0.95
dacc-spring,1,34,1829,smote,tabu,bic-g,5.424,0.021,242,2057,968,la_llave.temp_min_t,3.46,0.66,0.7,0.88,0.65,0.92
dacc-temp,1,20,5517,smote,tabu,loglik-g,5.647,0.044,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.9,0.84,0.93
dacc-temp,1,20,5517,smote,tabu,loglik-g,2.764,0.022,496,4216,1984,agua_amarga.temp_min_t,2.3,0.88,0.75,0.92,0.71,0.95
dacc-spring,1,34,1829,smote,tabu,loglik-g,7.047,0.023,118,1003,472,junin.temp_min_t,2.53,0.77,0.58,0.94,0.6,0.97
dacc-temp,1,20,5517,smote,tabu,loglik-g,3.13,0.025,567,4819,2268,las_paredes.temp_min_t,3.03,0.82,0.76,0.9,0.71,0.93
dacc-temp,1,20,5517,smote,tabu,loglik-g,4.957,0.029,698,5933,2792,la_llave.temp_min_t,3.11,0.83,0.79,0.89,0.75,0.92
dacc-temp,1,20,5517,smote,tabu,aic-g,1.615,0.014,390,3315,1560,junin.temp_min_t,2.16,0.9,0.74,0.94,0.77,0.97
dacc-temp,1,20,5517,smote,tabu,aic-g,4.892,0.038,1057,8984,4228,tunuyan.temp_min_t,2.83,0.85,0.82,0.9,0.85,0.93
dacc,1,35,5517,smote,tabu,bic-g,34.967,0.115,1057,8984,4228,tunuyan.temp_min_t,2.74,0.86,0.81,0.91,0.88,0.95
dacc-temp,1,20,5517,smote,tabu,aic-g,2.503,0.022,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.76,0.92,0.72,0.95
dacc-spring,1,34,1829,smote,tabu,loglik-g,19.44,0.155,348,2958,1392,tunuyan.temp_min_t,3.12,0.68,0.7,0.88,0.81,0.94
dacc-temp,1,20,5517,smote,tabu,aic-g,4.817,0.069,567,4819,2268,las_paredes.temp_min_t,2.97,0.82,0.75,0.9,0.73,0.94
dacc-temp,1,20,5517,smote,tabu,aic-g,4.49,0.033,698,5933,2792,la_llave.temp_min_t,3.12,0.83,0.81,0.9,0.75,0.92
dacc,1,35,5517,smote,tabu,bic-g,16.924,0.045,496,4216,1984,agua_amarga.temp_min_t,2.08,0.9,0.72,0.93,0.76,0.96
dacc-spring,1,34,1829,smote,tabu,loglik-g,14.293,0.042,163,1385,652,agua_amarga.temp_min_t,2.77,0.72,0.64,0.91,0.54,0.94
dacc-spring,1,34,1829,smote,tabu,loglik-g,14.674,0.049,216,1836,864,las_paredes.temp_min_t,3.18,0.68,0.68,0.9,0.6,0.93
dacc,1,35,5517,smote,tabu,bic-g,15.527,0.054,567,4819,2268,las_paredes.temp_min_t,2.85,0.84,0.74,0.9,0.73,0.94
dacc-temp,1,20,5517,smote,tabu,bge,23.73,0.023,390,3315,1560,junin.temp_min_t,2.17,0.9,0.74,0.94,0.76,0.97
dacc-spring,1,34,1829,smote,tabu,loglik-g,16.004,0.041,242,2057,968,la_llave.temp_min_t,3.64,0.64,0.66,0.87,0.6,0.91
dacc-spring,1,34,1829,smote,tabu,aic-g,4.244,0.02,118,1003,472,junin.temp_min_t,2.43,0.78,0.44,0.94,0.59,0.98
dacc,1,35,5517,smote,tabu,bic-g,22.568,0.067,698,5933,2792,la_llave.temp_min_t,3.1,0.84,0.8,0.89,0.73,0.92
dacc-spring,1,34,1829,smote,tabu,aic-g,16.812,0.054,348,2958,1392,tunuyan.temp_min_t,3.12,0.68,0.7,0.87,0.78,0.93
dacc-spring,1,34,1829,smote,tabu,aic-g,4.705,0.018,163,1385,652,agua_amarga.temp_min_t,2.67,0.74,0.67,0.91,0.54,0.94
dacc,1,35,5517,smote,tabu,loglik-g,25.359,0.067,390,3315,1560,junin.temp_min_t,2.12,0.9,0.68,0.94,0.79,0.97
dacc-spring,1,34,1829,smote,tabu,aic-g,6.738,0.026,216,1836,864,las_paredes.temp_min_t,3.12,0.69,0.67,0.89,0.56,0.92
dacc-spring,1,34,1829,smote,tabu,aic-g,7.634,0.027,242,2057,968,la_llave.temp_min_t,3.43,0.67,0.71,0.88,0.65,0.92
dacc-temp,1,20,5517,smote,tabu,bge,73.202,0.033,1057,8984,4228,tunuyan.temp_min_t,2.81,0.85,0.82,0.9,0.84,0.93
dacc-spring,1,34,1829,smote,tabu,bge,28.357,0.012,118,1003,472,junin.temp_min_t,2.39,0.78,0.4,0.94,0.59,0.98
dacc-temp,1,20,5517,smote,tabu,bge,17.848,0.015,496,4216,1984,agua_amarga.temp_min_t,2.36,0.87,0.72,0.91,0.69,0.95
dacc,1,35,5517,smote,tabu,loglik-g,62.866,0.172,1057,8984,4228,tunuyan.temp_min_t,2.68,0.86,0.82,0.91,0.89,0.95
dacc-temp,1,20,5517,smote,tabu,bge,25.402,0.018,567,4819,2268,las_paredes.temp_min_t,3.04,0.82,0.76,0.9,0.72,0.93
dacc,1,35,5517,smote,tabu,loglik-g,29.218,0.083,496,4216,1984,agua_amarga.temp_min_t,2.1,0.89,0.68,0.92,0.76,0.96
dacc-temp,1,20,5517,smote,tabu,bge,29.995,0.021,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.8,0.89,0.74,0.92
dacc,1,35,5517,smote,tabu,loglik-g,32.971,0.093,567,4819,2268,las_paredes.temp_min_t,2.87,0.84,0.74,0.9,0.73,0.94
dacc-spring,1,34,1829,smote,tabu,bge,124.359,0.039,348,2958,1392,tunuyan.temp_min_t,3.14,0.68,0.71,0.88,0.8,0.94
dacc,1,35,5517,smote,tabu,loglik-g,41.382,0.116,698,5933,2792,la_llave.temp_min_t,2.96,0.85,0.8,0.9,0.75,0.92
dacc,1,35,5517,smote,tabu,aic-g,15.092,0.049,390,3315,1560,junin.temp_min_t,2.1,0.91,0.73,0.94,0.79,0.97
dacc-spring,1,34,1829,smote,tabu,bge,51.079,0.016,163,1385,652,agua_amarga.temp_min_t,2.64,0.73,0.62,0.91,0.54,0.95
dacc,1,35,5517,smote,tabu,aic-g,50.714,0.133,1057,8984,4228,tunuyan.temp_min_t,2.71,0.86,0.82,0.91,0.88,0.95
dacc,1,35,5517,smote,tabu,aic-g,19.08,0.06,496,4216,1984,agua_amarga.temp_min_t,2.13,0.89,0.65,0.92,0.76,0.97
dacc,1,35,5517,smote,tabu,aic-g,23.493,0.069,567,4819,2268,las_paredes.temp_min_t,2.8,0.84,0.71,0.9,0.74,0.94
dacc-spring,1,34,1829,smote,tabu,bge,81.718,0.02,216,1836,864,las_paredes.temp_min_t,3.04,0.7,0.64,0.9,0.63,0.94
dacc,1,35,5517,smote,tabu,aic-g,29.081,0.087,698,5933,2792,la_llave.temp_min_t,2.97,0.85,0.8,0.9,0.76,0.93
dacc-spring,1,34,1829,smote,tabu,bge,82.39,0.023,242,2057,968,la_llave.temp_min_t,3.64,0.66,0.77,0.88,0.63,0.9
dacc,1,35,5517,smote,tabu,bge,185.785,0.043,390,3315,1560,junin.temp_min_t,2.07,0.91,0.77,0.95,0.79,0.97
dacc,1,35,5517,smote,tabu,bge,679.285,0.127,1057,8984,4228,tunuyan.temp_min_t,2.7,0.86,0.82,0.91,0.88,0.95
dacc,1,35,5517,smote,tabu,bge,219.705,0.052,496,4216,1984,agua_amarga.temp_min_t,2.11,0.89,0.71,0.92,0.74,0.96
dacc,1,35,5517,smote,tabu,bge,264.146,0.061,567,4819,2268,las_paredes.temp_min_t,2.95,0.83,0.75,0.9,0.72,0.94
dacc,1,35,5517,smote,tabu,bge,334.455,0.076,698,5933,2792,la_llave.temp_min_t,3.08,0.84,0.82,0.9,0.75,0.92
dacc-temp,1,20,5517,normal,tabu,bic-g,1.854,0.025,NA,3751,NA,junin.temp_min_t,2.17,0.9,0.55,0.93,0.84,0.99
dacc-temp,1,20,5517,normal,tabu,bic-g,1.854,0.025,NA,3751,NA,tunuyan.temp_min_t,2.86,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,bic-g,1.854,0.025,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,tabu,bic-g,1.854,0.025,NA,3751,NA,las_paredes.temp_min_t,2.93,0.82,0.63,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,tabu,bic-g,1.854,0.025,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-spring,1,34,1829,normal,tabu,bic-g,3.537,0.019,NA,1243,NA,junin.temp_min_t,2.46,0.77,0.47,0.94,0.62,0.98
dacc-spring,1,34,1829,normal,tabu,bic-g,3.537,0.019,NA,1243,NA,tunuyan.temp_min_t,3.24,0.67,0.56,0.85,0.82,0.96
dacc-spring,1,34,1829,normal,tabu,bic-g,3.537,0.019,NA,1243,NA,agua_amarga.temp_min_t,2.51,0.74,0.55,0.92,0.58,0.96
dacc-spring,1,34,1829,normal,tabu,bic-g,3.537,0.019,NA,1243,NA,las_paredes.temp_min_t,2.77,0.71,0.36,0.9,0.8,0.99
dacc-spring,1,34,1829,normal,tabu,bic-g,3.537,0.019,NA,1243,NA,la_llave.temp_min_t,3.3,0.67,0.46,0.87,0.71,0.96
dacc-temp,1,20,5517,normal,tabu,loglik-g,4.213,0.026,NA,3751,NA,junin.temp_min_t,2.16,0.9,0.57,0.93,0.86,0.99
dacc-temp,1,20,5517,normal,tabu,loglik-g,4.213,0.026,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,loglik-g,4.213,0.026,NA,3751,NA,agua_amarga.temp_min_t,2.26,0.88,0.61,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,tabu,loglik-g,4.213,0.026,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.64,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,tabu,loglik-g,4.213,0.026,NA,3751,NA,la_llave.temp_min_t,3.1,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,normal,tabu,aic-g,2.183,0.019,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,tabu,aic-g,2.183,0.019,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,aic-g,2.183,0.019,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,tabu,aic-g,2.183,0.019,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.63,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,tabu,aic-g,2.183,0.019,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-spring,1,34,1829,normal,tabu,loglik-g,10.874,0.039,NA,1243,NA,junin.temp_min_t,2.42,0.78,0.56,0.94,0.59,0.97
dacc-spring,1,34,1829,normal,tabu,loglik-g,10.874,0.039,NA,1243,NA,tunuyan.temp_min_t,3.07,0.69,0.64,0.87,0.83,0.95
dacc-spring,1,34,1829,normal,tabu,loglik-g,10.874,0.039,NA,1243,NA,agua_amarga.temp_min_t,2.43,0.76,0.56,0.92,0.6,0.96
dacc-spring,1,34,1829,normal,tabu,loglik-g,10.874,0.039,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.59,0.9,0.65,0.95
dacc-spring,1,34,1829,normal,tabu,loglik-g,10.874,0.039,NA,1243,NA,la_llave.temp_min_t,3.36,0.66,0.6,0.88,0.66,0.94
dacc,1,35,5517,normal,tabu,bic-g,14.968,0.051,NA,3751,NA,junin.temp_min_t,2.14,0.91,0.53,0.93,0.87,0.99
dacc,1,35,5517,normal,tabu,bic-g,14.968,0.051,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,tabu,bic-g,14.968,0.051,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.63,0.92,0.77,0.97
dacc,1,35,5517,normal,tabu,bic-g,14.968,0.051,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,tabu,bic-g,14.968,0.051,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-spring,1,34,1829,normal,tabu,aic-g,6.154,0.025,NA,1243,NA,junin.temp_min_t,2.39,0.78,0.51,0.94,0.63,0.98
dacc-spring,1,34,1829,normal,tabu,aic-g,6.154,0.025,NA,1243,NA,tunuyan.temp_min_t,3.09,0.69,0.65,0.87,0.81,0.94
dacc-spring,1,34,1829,normal,tabu,aic-g,6.154,0.025,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,tabu,aic-g,6.154,0.025,NA,1243,NA,las_paredes.temp_min_t,2.87,0.69,0.5,0.9,0.66,0.96
dacc-spring,1,34,1829,normal,tabu,aic-g,6.154,0.025,NA,1243,NA,la_llave.temp_min_t,3.34,0.66,0.59,0.88,0.7,0.95
dacc-temp,1,20,5517,normal,tabu,bge,26.51,0.018,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,tabu,bge,26.51,0.018,NA,3751,NA,tunuyan.temp_min_t,2.85,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,tabu,bge,26.51,0.018,NA,3751,NA,agua_amarga.temp_min_t,2.27,0.87,0.6,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,tabu,bge,26.51,0.018,NA,3751,NA,las_paredes.temp_min_t,2.9,0.82,0.62,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,tabu,bge,26.51,0.018,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc,1,35,5517,normal,tabu,loglik-g,31.953,0.095,NA,3751,NA,junin.temp_min_t,2.04,0.91,0.57,0.94,0.88,0.99
dacc,1,35,5517,normal,tabu,loglik-g,31.953,0.095,NA,3751,NA,tunuyan.temp_min_t,2.76,0.86,0.76,0.9,0.89,0.96
dacc,1,35,5517,normal,tabu,loglik-g,31.953,0.095,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.89,0.62,0.92,0.77,0.97
dacc,1,35,5517,normal,tabu,loglik-g,31.953,0.095,NA,3751,NA,las_paredes.temp_min_t,2.75,0.84,0.61,0.9,0.81,0.97
dacc,1,35,5517,normal,tabu,loglik-g,31.953,0.095,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.73,0.9,0.8,0.95
dacc-spring,1,34,1829,normal,tabu,bge,43.135,0.014,NA,1243,NA,junin.temp_min_t,2.4,0.78,0.47,0.94,0.67,0.98
dacc-spring,1,34,1829,normal,tabu,bge,43.135,0.014,NA,1243,NA,tunuyan.temp_min_t,3.21,0.66,0.58,0.85,0.81,0.95
dacc-spring,1,34,1829,normal,tabu,bge,43.135,0.014,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,tabu,bge,43.135,0.014,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.5,0.9,0.65,0.96
dacc-spring,1,34,1829,normal,tabu,bge,43.135,0.014,NA,1243,NA,la_llave.temp_min_t,3.39,0.66,0.59,0.87,0.65,0.93
dacc,1,35,5517,normal,tabu,aic-g,20.63,0.065,NA,3751,NA,junin.temp_min_t,2.07,0.91,0.6,0.94,0.85,0.99
dacc,1,35,5517,normal,tabu,aic-g,20.63,0.065,NA,3751,NA,tunuyan.temp_min_t,2.79,0.86,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,tabu,aic-g,20.63,0.065,NA,3751,NA,agua_amarga.temp_min_t,2.07,0.9,0.63,0.92,0.76,0.97
dacc,1,35,5517,normal,tabu,aic-g,20.63,0.065,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.8,0.97
dacc,1,35,5517,normal,tabu,aic-g,20.63,0.065,NA,3751,NA,la_llave.temp_min_t,2.94,0.85,0.73,0.9,0.79,0.94
dacc,1,35,5517,normal,tabu,bge,179.791,0.044,NA,3751,NA,junin.temp_min_t,2.09,0.91,0.54,0.93,0.87,0.99
dacc,1,35,5517,normal,tabu,bge,179.791,0.044,NA,3751,NA,tunuyan.temp_min_t,2.82,0.86,0.74,0.89,0.9,0.96
dacc,1,35,5517,normal,tabu,bge,179.791,0.044,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.62,0.92,0.76,0.97
dacc,1,35,5517,normal,tabu,bge,179.791,0.044,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,tabu,bge,179.791,0.044,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-temp,1,20,5517,normal,hc,bic-g,1.159,0.012,NA,3751,NA,junin.temp_min_t,2.17,0.9,0.55,0.93,0.84,0.99
dacc-temp,1,20,5517,normal,hc,bic-g,1.159,0.012,NA,3751,NA,tunuyan.temp_min_t,2.86,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,hc,bic-g,1.159,0.012,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,hc,bic-g,1.159,0.012,NA,3751,NA,las_paredes.temp_min_t,2.93,0.82,0.63,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,hc,bic-g,1.159,0.012,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,junin.temp_min_t,2.46,0.77,0.47,0.94,0.62,0.98
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,tunuyan.temp_min_t,3.24,0.67,0.56,0.85,0.82,0.96
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,agua_amarga.temp_min_t,2.51,0.74,0.55,0.92,0.58,0.96
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,las_paredes.temp_min_t,2.77,0.71,0.36,0.9,0.8,0.99
dacc-spring,1,34,1829,normal,hc,bic-g,2.349,0.013,NA,1243,NA,la_llave.temp_min_t,3.3,0.67,0.46,0.87,0.71,0.96
dacc-temp,1,20,5517,normal,hc,loglik-g,2.299,0.02,NA,3751,NA,junin.temp_min_t,2.16,0.9,0.57,0.93,0.86,0.99
dacc-temp,1,20,5517,normal,hc,loglik-g,2.299,0.02,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,hc,loglik-g,2.299,0.02,NA,3751,NA,agua_amarga.temp_min_t,2.26,0.88,0.6,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,hc,loglik-g,2.299,0.02,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.64,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,hc,loglik-g,2.299,0.02,NA,3751,NA,la_llave.temp_min_t,3.1,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,normal,hc,aic-g,1.44,0.018,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,hc,aic-g,1.44,0.018,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,hc,aic-g,1.44,0.018,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,hc,aic-g,1.44,0.018,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.63,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,hc,aic-g,1.44,0.018,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-spring,1,34,1829,normal,hc,loglik-g,7.26,0.027,NA,1243,NA,junin.temp_min_t,2.42,0.78,0.56,0.94,0.59,0.97
dacc-spring,1,34,1829,normal,hc,loglik-g,7.26,0.027,NA,1243,NA,tunuyan.temp_min_t,3.07,0.69,0.64,0.87,0.83,0.95
dacc-spring,1,34,1829,normal,hc,loglik-g,7.26,0.027,NA,1243,NA,agua_amarga.temp_min_t,2.43,0.76,0.56,0.92,0.6,0.96
dacc-spring,1,34,1829,normal,hc,loglik-g,7.26,0.027,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.59,0.9,0.65,0.95
dacc-spring,1,34,1829,normal,hc,loglik-g,7.26,0.027,NA,1243,NA,la_llave.temp_min_t,3.36,0.66,0.6,0.88,0.66,0.94
dacc,1,35,5517,normal,hc,bic-g,11.089,0.044,NA,3751,NA,junin.temp_min_t,2.14,0.91,0.53,0.93,0.87,0.99
dacc,1,35,5517,normal,hc,bic-g,11.089,0.044,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,hc,bic-g,11.089,0.044,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.63,0.92,0.77,0.97
dacc,1,35,5517,normal,hc,bic-g,11.089,0.044,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,hc,bic-g,11.089,0.044,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-spring,1,34,1829,normal,hc,aic-g,3.99,0.017,NA,1243,NA,junin.temp_min_t,2.39,0.78,0.51,0.94,0.63,0.98
dacc-spring,1,34,1829,normal,hc,aic-g,3.99,0.017,NA,1243,NA,tunuyan.temp_min_t,3.09,0.69,0.65,0.87,0.81,0.94
dacc-spring,1,34,1829,normal,hc,aic-g,3.99,0.017,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
