dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,tunuyan.temp_min_t,2.91,0.84,0.77,0.89,0.86,0.94
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,agua_amarga.temp_min_t,2.31,0.87,0.54,0.91,0.77,0.97
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,las_paredes.temp_min_t,2.97,0.81,0.63,0.91,0.83,0.97
dacc-temp,3,50,5515,normal,local,ignore,0,0.002,NA,3749,NA,la_llave.temp_min_t,3.12,0.83,0.67,0.89,0.79,0.95
dacc,3,95,5515,normal,local,ignore,0,0.005,NA,3749,NA,junin.temp_min_t,2.08,0.91,0.5,0.93,0.9,0.99
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,tunuyan.temp_min_t,2.72,0.86,0.8,0.9,0.88,0.95
dacc,3,95,5515,normal,local,ignore,0,0.006,NA,3749,NA,agua_amarga.temp_min_t,2.27,0.88,0.5,0.91,0.79,0.98
dacc-spring,4,121,1826,normal,local,ignore,0,0.002,NA,1241,NA,junin.temp_min_t,2.25,0.81,0.21,0.94,0.64,0.99
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,tunuyan.temp_min_t,3.06,0.69,0.6,0.87,0.85,0.96
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,agua_amarga.temp_min_t,2.49,0.74,0.29,0.92,0.67,0.98
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,las_paredes.temp_min_t,2.82,0.69,0.47,0.9,0.71,0.97
dacc-spring,4,121,1826,normal,local,ignore,0,0.003,NA,1241,NA,la_llave.temp_min_t,3.14,0.7,0.62,0.9,0.76,0.96
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,las_paredes.temp_min_t,2.8,0.84,0.59,0.9,0.84,0.97
dacc,3,95,5515,normal,local,ignore,0,0.004,NA,3749,NA,la_llave.temp_min_t,2.88,0.85,0.71,0.9,0.81,0.95
dacc-temp,4,65,5514,normal,local,ignore,0,0.003,NA,3749,NA,junin.temp_min_t,2.19,0.89,0.56,0.93,0.83,0.98
dacc-temp,4,65,5514,normal,local,ignore,0,0.002,NA,3749,NA,tunuyan.temp_min_t,2.9,0.84,0.77,0.88,0.85,0.94
dacc-temp,4,65,5514,normal,local,ignore,0,0.003,NA,3749,NA,agua_amarga.temp_min_t,2.31,0.87,0.54,0.91,0.77,0.97
dacc-temp,4,65,5514,normal,local,ignore,0,0.005,NA,3749,NA,las_paredes.temp_min_t,2.95,0.82,0.63,0.91,0.81,0.97
dacc-temp,4,65,5514,normal,local,ignore,0,0.003,NA,3749,NA,la_llave.temp_min_t,3.11,0.83,0.67,0.89,0.79,0.95
dacc,4,125,5514,normal,local,ignore,0,0.005,NA,3749,NA,junin.temp_min_t,2.05,0.91,0.53,0.93,0.89,0.99
dacc,4,125,5514,normal,local,ignore,0,0.005,NA,3749,NA,tunuyan.temp_min_t,2.69,0.86,0.8,0.9,0.88,0.95
dacc,4,125,5514,normal,local,ignore,0,0.005,NA,3749,NA,agua_amarga.temp_min_t,2.27,0.88,0.49,0.91,0.78,0.98
dacc,4,125,5514,normal,local,ignore,0,0.005,NA,3749,NA,las_paredes.temp_min_t,2.77,0.84,0.59,0.9,0.84,0.98
dacc,4,125,5514,normal,local,ignore,0,0.005,NA,3749,NA,la_llave.temp_min_t,2.85,0.86,0.71,0.9,0.81,0.95
dacc-spring,5,150,1825,normal,local,ignore,0,0.003,NA,1240,NA,junin.temp_min_t,2.25,0.81,0.19,0.93,0.62,0.99
dacc-spring,5,150,1825,normal,local,ignore,0,0.003,NA,1240,NA,tunuyan.temp_min_t,3.08,0.69,0.59,0.87,0.85,0.96
dacc-spring,5,150,1825,normal,local,ignore,0,0.003,NA,1240,NA,agua_amarga.temp_min_t,2.48,0.74,0.31,0.92,0.71,0.99
dacc-spring,5,150,1825,normal,local,ignore,0,0.004,NA,1240,NA,las_paredes.temp_min_t,2.82,0.69,0.47,0.91,0.72,0.97
dacc-spring,5,150,1825,normal,local,ignore,0,0.003,NA,1240,NA,la_llave.temp_min_t,3.15,0.69,0.63,0.9,0.77,0.96
dacc-temp,5,80,5513,normal,local,ignore,0,0.004,NA,3748,NA,junin.temp_min_t,2.19,0.89,0.58,0.93,0.84,0.98
dacc-temp,5,80,5513,normal,local,ignore,0,0.003,NA,3748,NA,tunuyan.temp_min_t,2.9,0.84,0.77,0.89,0.86,0.94
dacc-temp,5,80,5513,normal,local,ignore,0,0.003,NA,3748,NA,agua_amarga.temp_min_t,2.3,0.87,0.55,0.91,0.77,0.97
dacc-temp,5,80,5513,normal,local,ignore,0,0.003,NA,3748,NA,las_paredes.temp_min_t,2.95,0.82,0.63,0.9,0.8,0.97
dacc-temp,5,80,5513,normal,local,ignore,0,0.003,NA,3748,NA,la_llave.temp_min_t,3.1,0.83,0.68,0.89,0.79,0.95
dacc,5,155,5513,normal,local,ignore,0,0.007,NA,3748,NA,junin.temp_min_t,2.03,0.91,0.54,0.93,0.88,0.99
dacc,5,155,5513,normal,local,ignore,0,0.007,NA,3748,NA,tunuyan.temp_min_t,2.68,0.86,0.81,0.91,0.88,0.95
dacc,5,155,5513,normal,local,ignore,0,0.009,NA,3748,NA,agua_amarga.temp_min_t,2.28,0.88,0.51,0.91,0.79,0.98
dacc,5,155,5513,normal,local,ignore,0,0.007,NA,3748,NA,las_paredes.temp_min_t,2.76,0.84,0.59,0.9,0.83,0.97
dacc,5,155,5513,normal,local,ignore,0,0.009,NA,3748,NA,la_llave.temp_min_t,2.84,0.86,0.74,0.9,0.81,0.95
dacc-spring,1,34,1829,smote,local,ignore,0,0.001,118,1003,472,junin.temp_min_t,2.29,0.8,0.33,0.94,0.64,0.99
dacc-temp,1,20,5517,smote,local,ignore,0,0.002,390,3315,1560,junin.temp_min_t,2.25,0.89,0.7,0.94,0.78,0.97
dacc,1,35,5517,smote,local,ignore,0,0.002,390,3315,1560,junin.temp_min_t,2.07,0.91,0.59,0.94,0.86,0.99
dacc-spring,1,34,1829,smote,local,ignore,0,0.001,348,2958,1392,tunuyan.temp_min_t,3.22,0.66,0.66,0.87,0.82,0.95
dacc-spring,1,34,1829,smote,local,ignore,0,0.001,163,1385,652,agua_amarga.temp_min_t,2.66,0.72,0.44,0.92,0.63,0.97
dacc-spring,1,34,1829,smote,local,ignore,0,0.001,216,1836,864,las_paredes.temp_min_t,3.02,0.67,0.56,0.9,0.64,0.95
dacc-spring,1,34,1829,smote,local,ignore,0,0.001,242,2057,968,la_llave.temp_min_t,3.29,0.68,0.71,0.89,0.69,0.93
dacc-temp,1,20,5517,smote,local,ignore,0,0.002,1057,8984,4228,tunuyan.temp_min_t,2.94,0.84,0.79,0.88,0.83,0.93
dacc-spring,2,63,1828,smote,local,ignore,0,0.001,118,1003,472,junin.temp_min_t,2.24,0.81,0.42,0.94,0.6,0.98
dacc-temp,1,20,5517,smote,local,ignore,0,0.001,496,4216,1984,agua_amarga.temp_min_t,2.4,0.86,0.63,0.92,0.74,0.96
dacc-spring,2,63,1828,smote,local,ignore,0,0.002,347,2949,1388,tunuyan.temp_min_t,3.11,0.68,0.67,0.87,0.82,0.95
dacc-temp,1,20,5517,smote,local,ignore,0,0.001,567,4819,2268,las_paredes.temp_min_t,3.13,0.8,0.71,0.9,0.73,0.94
dacc,1,35,5517,smote,local,ignore,0,0.003,1057,8984,4228,tunuyan.temp_min_t,2.88,0.84,0.81,0.9,0.87,0.94
dacc-spring,2,63,1828,smote,local,ignore,0,0.002,163,1385,652,agua_amarga.temp_min_t,2.55,0.73,0.42,0.92,0.57,0.97
dacc-spring,2,63,1828,smote,local,ignore,0,0.002,216,1836,864,las_paredes.temp_min_t,2.94,0.69,0.59,0.9,0.63,0.95
dacc-temp,1,20,5517,smote,local,ignore,0,0.001,698,5933,2792,la_llave.temp_min_t,3.24,0.82,0.76,0.89,0.75,0.93
dacc,1,35,5517,smote,local,ignore,0,0.002,496,4216,1984,agua_amarga.temp_min_t,2.28,0.87,0.6,0.91,0.75,0.97
dacc-spring,2,63,1828,smote,local,ignore,0,0.002,242,2057,968,la_llave.temp_min_t,3.3,0.68,0.72,0.89,0.67,0.93
dacc-temp,2,35,5516,smote,local,ignore,0,0.007,390,3315,1560,junin.temp_min_t,2.2,0.89,0.71,0.94,0.77,0.97
dacc-spring,3,92,1827,smote,local,ignore,0,0.002,118,1003,472,junin.temp_min_t,2.3,0.8,0.44,0.95,0.7,0.99
dacc,1,35,5517,smote,local,ignore,0,0.002,567,4819,2268,las_paredes.temp_min_t,2.88,0.83,0.64,0.9,0.79,0.96
dacc-spring,3,92,1827,smote,local,ignore,0,0.003,347,2949,1388,tunuyan.temp_min_t,3.05,0.69,0.68,0.87,0.81,0.94
dacc,1,35,5517,smote,local,ignore,0,0.002,698,5933,2792,la_llave.temp_min_t,2.97,0.84,0.77,0.89,0.76,0.93
dacc-spring,3,92,1827,smote,local,ignore,0,0.002,163,1385,652,agua_amarga.temp_min_t,2.57,0.72,0.44,0.92,0.62,0.97
dacc-spring,3,92,1827,smote,local,ignore,0,0.002,216,1836,864,las_paredes.temp_min_t,2.99,0.68,0.6,0.89,0.59,0.94
dacc-temp,2,35,5516,smote,local,ignore,0,0.003,1057,8984,4228,tunuyan.temp_min_t,2.92,0.84,0.8,0.89,0.83,0.93
dacc,2,65,5516,smote,local,ignore,0,0.002,390,3315,1560,junin.temp_min_t,1.99,0.91,0.66,0.94,0.85,0.98
dacc-spring,3,92,1827,smote,local,ignore,0,0.003,242,2057,968,la_llave.temp_min_t,3.22,0.7,0.73,0.9,0.69,0.93
dacc-temp,2,35,5516,smote,local,ignore,0,0.002,496,4216,1984,agua_amarga.temp_min_t,2.35,0.87,0.65,0.91,0.72,0.96
dacc-spring,4,121,1826,smote,local,ignore,0,0.002,119,1011,476,junin.temp_min_t,2.26,0.8,0.29,0.93,0.57,0.98
