"","nodes"
"1","agua_amarga.temp_max_T_1"
"2","agua_amarga.humedad_max_T_1"
"3","agua_amarga.temp_med_T_1"
"4","agua_amarga.humedad_med_T_1"
"5","agua_amarga.temp_min_T_1"
