"","nodes"
"1","junin.temp_max_T_2"
"2","junin.humedad_min_T_2"
"3","tunuyan.temp_min_T_2"
"4","agua_amarga.humedad_min_T_2"
"5","la_llave.temp_max_T_2"
"6","la_llave.humedad_min_T_2"
"7","junin.temp_med_T_1"
"8","junin.humedad_med_T_1"
"9","tunuyan.temp_med_T_1"
"10","agua_amarga.humedad_min_T_1"
"11","las_paredes.temp_med_T_1"
"12","la_llave.temp_max_T_1"
"13","la_llave.temp_min_T_1"
"14","la_llave.humedad_min_T_1"
