"","nodes"
"1","junin.humedad_med_T_2"
"2","tunuyan.temp_min_T_2"
"3","la_llave.temp_max_T_2"
"4","la_llave.humedad_min_T_2"
"5","junin.temp_med_T_1"
"6","junin.humedad_med_T_1"
"7","junin.temp_min_T_1"
"8","tunuyan.temp_max_T_1"
"9","tunuyan.humedad_min_T_1"
"10","agua_amarga.temp_min_T_1"
"11","las_paredes.temp_med_T_1"
"12","la_llave.temp_max_T_1"
"13","la_llave.humedad_min_T_1"
