"","nodes"
"1","agua_amarga.temp_max_T_2"
"2","agua_amarga.humedad_max_T_2"
"3","agua_amarga.temp_med_T_2"
"4","agua_amarga.humedad_med_T_2"
"5","agua_amarga.temp_min_T_2"
"6","agua_amarga.humedad_min_T_2"
"7","agua_amarga.temp_max_T_1"
"8","agua_amarga.humedad_max_T_1"
"9","agua_amarga.temp_med_T_1"
"10","agua_amarga.humedad_med_T_1"
"11","agua_amarga.temp_min_T_1"
"12","agua_amarga.humedad_min_T_1"
