"","nodes"
"1","las_paredes.temp_max_T_1"
"2","las_paredes.humedad_max_T_1"
"3","las_paredes.temp_med_T_1"
"4","las_paredes.humedad_med_T_1"
"5","las_paredes.temp_min_T_1"
"6","las_paredes.humedad_min_T_1"
