"","Overall"
"junin.temp_max_T_2",80.1179765794419
"junin.temp_med_T_2",0.395645440009426
"junin.temp_min_T_2",46.0225275203431
"tunuyan.temp_max_T_2",31.4742399474853
"tunuyan.temp_med_T_2",33.6950907728343
"tunuyan.temp_min_T_2",56.7548109250135
"agua_amarga.temp_max_T_2",16.0874309208725
"agua_amarga.temp_med_T_2",2.47304441407086
"agua_amarga.temp_min_T_2",40.851712943027
"las_paredes.temp_max_T_2",50.5997209074688
"las_paredes.temp_med_T_2",1.15994735113333
"las_paredes.temp_min_T_2",26.5527096636193
"la_llave.temp_max_T_2",49.3385658108459
"la_llave.temp_med_T_2",0
"la_llave.temp_min_T_2",10.4911200636155
"junin.temp_max_T_1",90.1515806167517
"junin.temp_med_T_1",62.0740841434705
"junin.temp_min_T_1",80.8501620835304
"tunuyan.temp_max_T_1",100
"tunuyan.temp_med_T_1",34.7532665871244
"tunuyan.temp_min_T_1",94.9853051447738
"agua_amarga.temp_max_T_1",57.6866172065416
"agua_amarga.temp_med_T_1",28.0203569838257
"agua_amarga.temp_min_T_1",37.4177854346316
"las_paredes.temp_max_T_1",60.449717978854
"las_paredes.temp_med_T_1",32.3718721507208
"las_paredes.temp_min_T_1",58.6693872784899
"la_llave.temp_max_T_1",56.9385534401948
"la_llave.temp_med_T_1",7.39470957391591
"la_llave.temp_min_T_1",65.7337357477423
