"","nodes"
"1","junin.temp_med_T_1"
"2","tunuyan.humedad_max_T_1"
"3","tunuyan.temp_med_T_1"
"4","tunuyan.humedad_med_T_1"
"5","agua_amarga.humedad_med_T_1"
"6","agua_amarga.temp_min_T_1"
"7","agua_amarga.humedad_min_T_1"
"8","las_paredes.temp_med_T_1"
"9","la_llave.temp_max_T_1"
"10","la_llave.temp_min_T_1"
"11","la_llave.humedad_min_T_1"
