"","nodes"
"1","la_llave.temp_max_T_2"
"2","la_llave.humedad_max_T_2"
"3","la_llave.temp_med_T_2"
"4","la_llave.humedad_med_T_2"
"5","la_llave.temp_min_T_2"
"6","la_llave.humedad_min_T_2"
"7","la_llave.temp_max_T_1"
"8","la_llave.humedad_max_T_1"
"9","la_llave.temp_med_T_1"
"10","la_llave.humedad_med_T_1"
"11","la_llave.temp_min_T_1"
"12","la_llave.humedad_min_T_1"
