"","Overall"
"junin.temp_max_T_3",24.450240675375
"junin.temp_med_T_3",13.3210308526773
"junin.temp_min_T_3",39.1833382548354
"tunuyan.temp_max_T_3",42.5081238317055
"tunuyan.temp_med_T_3",44.5480438930035
"tunuyan.temp_min_T_3",46.2633009002453
"agua_amarga.temp_max_T_3",26.5169228849732
"agua_amarga.temp_med_T_3",36.3980290457437
"agua_amarga.temp_min_T_3",29.839587182195
"las_paredes.temp_max_T_3",25.3926119338157
"las_paredes.temp_med_T_3",29.7234636084326
"las_paredes.temp_min_T_3",27.6945023614134
"la_llave.temp_max_T_3",47.9200392717144
"la_llave.temp_med_T_3",36.429727568587
"la_llave.temp_min_T_3",40.6732358753719
"junin.temp_max_T_2",48.751371307066
"junin.temp_med_T_2",0
"junin.temp_min_T_2",16.1558979597658
"tunuyan.temp_max_T_2",60.6692089361949
"tunuyan.temp_med_T_2",31.6901384220552
"tunuyan.temp_min_T_2",76.8022575561287
"agua_amarga.temp_max_T_2",62.7806949225111
"agua_amarga.temp_med_T_2",8.20578331325986
"agua_amarga.temp_min_T_2",20.792504411288
"las_paredes.temp_max_T_2",53.3772442920853
"las_paredes.temp_med_T_2",38.43119558695
"las_paredes.temp_min_T_2",22.7141268505679
"la_llave.temp_max_T_2",43.2201896901877
"la_llave.temp_med_T_2",17.8720255073471
"la_llave.temp_min_T_2",20.4022646721295
"junin.temp_max_T_1",74.238804169608
"junin.temp_med_T_1",37.6621666913955
"junin.temp_min_T_1",46.8892019534838
"tunuyan.temp_max_T_1",58.8149949219961
"tunuyan.temp_med_T_1",75.9684990373958
"tunuyan.temp_min_T_1",100
"agua_amarga.temp_max_T_1",47.7277355505789
"agua_amarga.temp_med_T_1",29.679664550679
"agua_amarga.temp_min_T_1",49.7093221664528
"las_paredes.temp_max_T_1",66.7557476694114
"las_paredes.temp_med_T_1",44.8022707125495
"las_paredes.temp_min_T_1",60.3906067090972
"la_llave.temp_max_T_1",60.0177549259925
"la_llave.temp_med_T_1",39.7293326699182
"la_llave.temp_min_T_1",49.6844370115302
