"","nodes"
"1","tunuyan.temp_max_T_2"
"2","tunuyan.humedad_max_T_2"
"3","tunuyan.temp_med_T_2"
"4","tunuyan.humedad_med_T_2"
"5","tunuyan.temp_min_T_2"
"6","tunuyan.humedad_min_T_2"
"7","tunuyan.temp_max_T_1"
"8","tunuyan.humedad_max_T_1"
"9","tunuyan.temp_med_T_1"
"10","tunuyan.humedad_med_T_1"
"11","tunuyan.temp_min_T_1"
"12","tunuyan.humedad_min_T_1"
