"","nodes"
"1","junin.temp_max_T_1"
"2","junin.humedad_max_T_1"
"3","junin.temp_med_T_1"
"4","junin.temp_min_T_1"
"5","junin.humedad_min_T_1"
"6","tunuyan.humedad_max_T_1"
"7","tunuyan.temp_med_T_1"
"8","tunuyan.humedad_med_T_1"
"9","tunuyan.temp_min_T_1"
"10","agua_amarga.temp_min_T_1"
"11","las_paredes.temp_med_T_1"
"12","las_paredes.humedad_min_T_1"
"13","la_llave.temp_min_T_1"
