"","nodes"
"1","junin.temp_max_T_2"
"2","junin.humedad_max_T_2"
"3","junin.humedad_med_T_2"
"4","junin.temp_min_T_2"
"5","junin.humedad_min_T_2"
"6","junin.temp_max_T_1"
"7","junin.humedad_max_T_1"
"8","junin.temp_med_T_1"
"9","junin.humedad_med_T_1"
"10","junin.temp_min_T_1"
"11","junin.humedad_min_T_1"
