"","Overall"
"junin.temp_max_T_1",39.5615003378538
"junin.temp_med_T_1",20.7102411756207
"junin.temp_min_T_1",36.6755883401988
"tunuyan.temp_max_T_1",39.6026672284345
"tunuyan.temp_med_T_1",26.6033406709032
"tunuyan.temp_min_T_1",100
"agua_amarga.temp_max_T_1",56.1685718578677
"agua_amarga.temp_med_T_1",17.0410674650645
"agua_amarga.temp_min_T_1",33.1094881690664
"las_paredes.temp_max_T_1",83.0627311971029
"las_paredes.temp_med_T_1",18.5263268054411
"las_paredes.temp_min_T_1",31.4097279493216
"la_llave.temp_max_T_1",84.7786774155392
"la_llave.temp_med_T_1",0
"la_llave.temp_min_T_1",29.5281056862065
