"","nodes"
"1","junin.temp_med_T_1"
"2","junin.temp_min_T_1"
"3","junin.humedad_min_T_1"
"4","tunuyan.temp_max_T_1"
"5","tunuyan.humedad_max_T_1"
"6","tunuyan.temp_med_T_1"
"7","tunuyan.humedad_med_T_1"
"8","agua_amarga.humedad_med_T_1"
"9","agua_amarga.humedad_min_T_1"
"10","la_llave.temp_max_T_1"
"11","la_llave.humedad_min_T_1"
