"","nodes"
"1","junin.temp_med_T_2"
"2","junin.humedad_med_T_2"
"3","tunuyan.temp_min_T_2"
"4","tunuyan.humedad_min_T_2"
"5","agua_amarga.temp_max_T_2"
"6","agua_amarga.temp_min_T_2"
"7","la_llave.humedad_min_T_2"
"8","junin.temp_med_T_1"
"9","junin.humedad_min_T_1"
"10","tunuyan.humedad_max_T_1"
"11","tunuyan.temp_med_T_1"
"12","tunuyan.humedad_med_T_1"
"13","tunuyan.humedad_min_T_1"
"14","las_paredes.temp_med_T_1"
"15","las_paredes.humedad_min_T_1"
"16","la_llave.humedad_med_T_1"
"17","la_llave.temp_min_T_1"
