"","nodes"
"1","junin.temp_max_T_1"
"2","junin.humedad_max_T_1"
"3","junin.temp_med_T_1"
"4","junin.humedad_med_T_1"
"5","junin.temp_min_T_1"
"6","junin.humedad_min_T_1"
