"","Overall"
"junin.temp_max_T_4",33.5629557449669
"junin.humedad_max_T_4",24.3289809350501
"junin.temp_med_T_4",14.5239529942604
"junin.humedad_med_T_4",21.7248777577031
"junin.temp_min_T_4",29.2785237442272
"junin.humedad_min_T_4",24.4399884488684
"tunuyan.temp_max_T_4",21.7980384596251
"tunuyan.humedad_max_T_4",1.45014844473098
"tunuyan.temp_med_T_4",27.0510000501022
"tunuyan.humedad_med_T_4",8.72100371511197
"tunuyan.temp_min_T_4",44.9540195687717
"tunuyan.humedad_min_T_4",12.8022354567553
"agua_amarga.temp_max_T_4",21.1234807291946
"agua_amarga.humedad_max_T_4",19.8085596131048
"agua_amarga.temp_med_T_4",24.2625527697735
"agua_amarga.humedad_med_T_4",4.5360858165509
"agua_amarga.temp_min_T_4",27.7208723622525
"agua_amarga.humedad_min_T_4",5.82077276436227
"las_paredes.temp_max_T_4",26.0502984112544
"las_paredes.humedad_max_T_4",0
"las_paredes.temp_med_T_4",22.4917713263192
"las_paredes.humedad_med_T_4",14.6147349596482
"las_paredes.temp_min_T_4",14.2816611106477
"las_paredes.humedad_min_T_4",20.4452005463865
"la_llave.temp_max_T_4",34.5490511290245
"la_llave.humedad_max_T_4",5.01949424239664
"la_llave.temp_med_T_4",29.1437229154897
"la_llave.humedad_med_T_4",12.509362850851
"la_llave.temp_min_T_4",22.1793968021662
"la_llave.humedad_min_T_4",16.1753528468176
"junin.temp_max_T_3",21.0603232468988
"junin.humedad_max_T_3",13.5536023835225
"junin.temp_med_T_3",26.6823895457101
"junin.humedad_med_T_3",20.0036278452662
"junin.temp_min_T_3",31.099636042003
"junin.humedad_min_T_3",23.5540171247542
"tunuyan.temp_max_T_3",17.92822056472
"tunuyan.humedad_max_T_3",14.7866747536391
"tunuyan.temp_med_T_3",22.308097949023
"tunuyan.humedad_med_T_3",16.1321569347746
"tunuyan.temp_min_T_3",27.9122936119486
"tunuyan.humedad_min_T_3",12.4600136871755
"agua_amarga.temp_max_T_3",13.5445316098327
"agua_amarga.humedad_max_T_3",11.7462345065617
"agua_amarga.temp_med_T_3",18.2108732578171
"agua_amarga.humedad_med_T_3",18.4269165635981
"agua_amarga.temp_min_T_3",34.1349853808982
"agua_amarga.humedad_min_T_3",14.9197536879046
"las_paredes.temp_max_T_3",11.9916360831642
"las_paredes.humedad_max_T_3",15.3971513886763
"las_paredes.temp_med_T_3",26.3805373405263
"las_paredes.humedad_med_T_3",10.8458447816263
"las_paredes.temp_min_T_3",10.550418033579
"las_paredes.humedad_min_T_3",15.3097765424676
"la_llave.temp_max_T_3",42.7867336022023
"la_llave.humedad_max_T_3",5.37612832356481
"la_llave.temp_med_T_3",37.9066617006115
"la_llave.humedad_med_T_3",28.1534583841965
"la_llave.temp_min_T_3",39.2996630681353
"la_llave.humedad_min_T_3",22.1434229838925
"junin.temp_max_T_2",31.4329268886873
"junin.humedad_max_T_2",16.2966246211225
"junin.temp_med_T_2",29.4841790816981
"junin.humedad_med_T_2",23.8127101011977
"junin.temp_min_T_2",27.2392401860309
"junin.humedad_min_T_2",24.7919999456755
"tunuyan.temp_max_T_2",24.1794389602613
"tunuyan.humedad_max_T_2",9.98029536477737
"tunuyan.temp_med_T_2",42.9125914689381
"tunuyan.humedad_med_T_2",20.3127660500372
"tunuyan.temp_min_T_2",46.8704674052802
"tunuyan.humedad_min_T_2",24.89361583868
"agua_amarga.temp_max_T_2",20.0152098413058
"agua_amarga.humedad_max_T_2",1.79686236780308
"agua_amarga.temp_med_T_2",18.9354211805463
"agua_amarga.humedad_med_T_2",7.37540688576629
"agua_amarga.temp_min_T_2",31.1365522040053
"agua_amarga.humedad_min_T_2",15.7474358004693
"las_paredes.temp_max_T_2",36.7515616640968
"las_paredes.humedad_max_T_2",19.9234215472227
"las_paredes.temp_med_T_2",36.2928246143368
"las_paredes.humedad_med_T_2",20.4958825159796
"las_paredes.temp_min_T_2",14.804911314304
"las_paredes.humedad_min_T_2",20.4047977130728
"la_llave.temp_max_T_2",45.2566397610218
"la_llave.humedad_max_T_2",14.9145632133724
"la_llave.temp_med_T_2",26.3786485851203
"la_llave.humedad_med_T_2",16.8171042183544
"la_llave.temp_min_T_2",31.7845321291454
"la_llave.humedad_min_T_2",22.8544921971595
"junin.temp_max_T_1",76.6964295790728
"junin.humedad_max_T_1",28.4562012563162
"junin.temp_med_T_1",80.7077371412136
"junin.humedad_med_T_1",69.7193516276131
"junin.temp_min_T_1",41.4210853668118
"junin.humedad_min_T_1",58.7933337618684
"tunuyan.temp_max_T_1",73.9729104541065
"tunuyan.humedad_max_T_1",32.4097517666837
"tunuyan.temp_med_T_1",49.5393285144861
"tunuyan.humedad_med_T_1",76.6950886315354
"tunuyan.temp_min_T_1",63.5587717145025
"tunuyan.humedad_min_T_1",92.6453101632097
"agua_amarga.temp_max_T_1",58.8066481252607
"agua_amarga.humedad_max_T_1",22.9555141577856
"agua_amarga.temp_med_T_1",29.2567444040266
"agua_amarga.humedad_med_T_1",48.7005077489263
"agua_amarga.temp_min_T_1",40.0036314769448
"agua_amarga.humedad_min_T_1",97.9618488581977
"las_paredes.temp_max_T_1",90.6040207797576
"las_paredes.humedad_max_T_1",24.2207084570268
"las_paredes.temp_med_T_1",59.9453243685251
"las_paredes.humedad_med_T_1",70.9351923522123
"las_paredes.temp_min_T_1",60.8085941882444
"las_paredes.humedad_min_T_1",70.5014680784085
"la_llave.temp_max_T_1",95.8813435826937
"la_llave.humedad_max_T_1",47.1200216550417
"la_llave.temp_med_T_1",79.7331336594968
"la_llave.humedad_med_T_1",84.4600806013292
"la_llave.temp_min_T_1",79.0751918181101
"la_llave.humedad_min_T_1",100
