"","nodes"
"1","junin.temp_min_T_3"
"2","tunuyan.humedad_max_T_3"
"3","tunuyan.temp_min_T_2"
"4","agua_amarga.humedad_min_T_2"
"5","la_llave.temp_max_T_2"
"6","la_llave.humedad_min_T_2"
"7","tunuyan.temp_max_T_1"
"8","tunuyan.humedad_max_T_1"
"9","tunuyan.temp_med_T_1"
"10","tunuyan.humedad_med_T_1"
"11","agua_amarga.humedad_min_T_1"
"12","las_paredes.temp_max_T_1"
"13","las_paredes.humedad_med_T_1"
"14","las_paredes.temp_min_T_1"
"15","las_paredes.humedad_min_T_1"
"16","la_llave.temp_max_T_1"
"17","la_llave.temp_med_T_1"
"18","la_llave.humedad_med_T_1"
