"","nodes"
"1","tunuyan.temp_max_T_1"
"2","tunuyan.humedad_max_T_1"
"3","tunuyan.temp_med_T_1"
"4","tunuyan.humedad_med_T_1"
"5","tunuyan.temp_min_T_1"
"6","tunuyan.humedad_min_T_1"
