"","nodes"
"1","las_paredes.temp_max_T_4"
"2","las_paredes.temp_min_T_4"
"3","las_paredes.humedad_min_T_4"
"4","las_paredes.temp_min_T_3"
"5","las_paredes.temp_max_T_2"
"6","las_paredes.humedad_max_T_2"
"7","las_paredes.temp_med_T_2"
"8","las_paredes.humedad_min_T_2"
"9","las_paredes.temp_max_T_1"
"10","las_paredes.temp_med_T_1"
"11","las_paredes.humedad_med_T_1"
"12","las_paredes.temp_min_T_1"
"13","las_paredes.humedad_min_T_1"
