"","nodes"
"1","tunuyan.temp_med_T_4"
"2","tunuyan.humedad_med_T_4"
"3","tunuyan.temp_min_T_4"
"4","tunuyan.humedad_med_T_3"
"5","tunuyan.temp_min_T_3"
"6","tunuyan.temp_max_T_2"
"7","tunuyan.humedad_med_T_2"
"8","tunuyan.temp_min_T_2"
"9","tunuyan.humedad_min_T_2"
"10","tunuyan.temp_max_T_1"
"11","tunuyan.humedad_max_T_1"
"12","tunuyan.temp_med_T_1"
"13","tunuyan.humedad_med_T_1"
"14","tunuyan.temp_min_T_1"
"15","tunuyan.humedad_min_T_1"
