"","nodes"
"1","junin.temp_max_T_3"
"2","junin.humedad_max_T_3"
"3","junin.temp_med_T_3"
"4","junin.humedad_med_T_3"
"5","junin.temp_min_T_3"
"6","junin.humedad_min_T_3"
"7","junin.temp_max_T_2"
"8","junin.humedad_max_T_2"
"9","junin.temp_med_T_2"
"10","junin.humedad_med_T_2"
"11","junin.temp_min_T_2"
"12","junin.humedad_min_T_2"
"13","junin.temp_max_T_1"
"14","junin.humedad_max_T_1"
"15","junin.temp_med_T_1"
"16","junin.humedad_med_T_1"
"17","junin.temp_min_T_1"
"18","junin.humedad_min_T_1"
