"","nodes"
"1","agua_amarga.temp_max_T_4"
"2","agua_amarga.temp_min_T_4"
"3","agua_amarga.humedad_min_T_4"
"4","agua_amarga.temp_max_T_3"
"5","agua_amarga.temp_min_T_3"
"6","agua_amarga.humedad_min_T_3"
"7","agua_amarga.temp_max_T_2"
"8","agua_amarga.temp_med_T_2"
"9","agua_amarga.temp_min_T_2"
"10","agua_amarga.humedad_min_T_2"
"11","agua_amarga.temp_max_T_1"
"12","agua_amarga.humedad_max_T_1"
"13","agua_amarga.temp_med_T_1"
"14","agua_amarga.humedad_med_T_1"
"15","agua_amarga.temp_min_T_1"
"16","agua_amarga.humedad_min_T_1"
