dataset,days,ncol,nrow,config_train,alg,ntree,mtry,var,ntree,t_run_s,nfrostorig,ntrain,nfrostsmote,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc,1,35,5517,smote,rf,500,17,junin.temp_min_t,90.611,612,5202,2448,0.34,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,17,junin.temp_min_t,90.924,612,5202,2448,0.01,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,17,junin.temp_min_t,89.461,612,5202,2448,0.36,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,18,junin.temp_min_t,96.473,612,5516,NA,0.07,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,18,junin.temp_min_t,99.088,612,5516,NA,0,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,18,junin.temp_min_t,97.337,612,5516,NA,0.25,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,18,junin.temp_min_t,90.511,612,5202,2448,0.57,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,18,junin.temp_min_t,95.017,612,5202,2448,0.23,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,18,junin.temp_min_t,94.409,612,5202,2448,0.17,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,19,junin.temp_min_t,103.971,612,5516,NA,0.2,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,19,junin.temp_min_t,101.651,612,5516,NA,0.2,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,19,junin.temp_min_t,103.665,612,5516,NA,0.13,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,19,junin.temp_min_t,94.81,612,5202,2448,0.92,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,19,junin.temp_min_t,98.03,612,5202,2448,0.1,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,19,junin.temp_min_t,94.464,612,5202,2448,0.3,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,20,junin.temp_min_t,107.084,612,5516,NA,0,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,20,junin.temp_min_t,108.021,612,5516,NA,0.06,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,20,junin.temp_min_t,108.263,612,5516,NA,0.13,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,20,junin.temp_min_t,99.833,612,5202,2448,0.05,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,20,junin.temp_min_t,96.459,612,5202,2448,0.07,0,NA,1,NA,1
dacc,1,35,5517,smote,rf,500,20,junin.temp_min_t,99.281,612,5202,2448,0.29,0,NA,1,NA,1
dacc,1,35,5517,normal,rf,500,21,junin.temp_min_t,108.714,612,5516,NA,0.05,0,NA,1,NA,1
