dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,normal,hc,loglik-g,7.286,0.027,NA,1243,NA,tunuyan.temp_min_t,3.07,0.69,0.64,0.87,0.83,0.95
dacc-spring,1,34,1829,normal,hc,loglik-g,7.286,0.027,NA,1243,NA,agua_amarga.temp_min_t,2.43,0.76,0.56,0.92,0.6,0.96
dacc-spring,1,34,1829,normal,hc,loglik-g,7.286,0.027,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.59,0.9,0.65,0.95
dacc-spring,1,34,1829,normal,hc,loglik-g,7.286,0.027,NA,1243,NA,la_llave.temp_min_t,3.36,0.66,0.6,0.88,0.66,0.94
dacc-temp,1,20,5517,smote,hc,loglik-g,2.913,0.029,567,4819,2268,las_paredes.temp_min_t,3.01,0.82,0.76,0.9,0.72,0.93
dacc-temp,1,20,5517,smote,hc,loglik-g,3.389,0.034,698,5933,2792,la_llave.temp_min_t,3.1,0.83,0.79,0.9,0.75,0.92
dacc-spring,1,34,1829,smote,hc,loglik-g,6.165,0.023,118,1003,472,junin.temp_min_t,2.6,0.76,0.56,0.93,0.55,0.96
dacc-temp,1,20,5517,normal,hc,aic-g,1.45,0.014,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,hc,aic-g,1.45,0.014,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.77,0.89,0.85,0.94
dacc-temp,1,20,5517,normal,hc,aic-g,1.45,0.014,NA,3751,NA,agua_amarga.temp_min_t,2.22,0.88,0.65,0.93,0.8,0.97
dacc-temp,1,20,5517,normal,hc,aic-g,1.45,0.014,NA,3751,NA,las_paredes.temp_min_t,2.92,0.82,0.63,0.91,0.81,0.97
dacc-temp,1,20,5517,normal,hc,aic-g,1.45,0.014,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc-temp,1,20,5517,smote,hc,aic-g,1.526,0.014,390,3315,1560,junin.temp_min_t,2.16,0.9,0.73,0.94,0.76,0.97
dacc-temp,1,20,5517,smote,hc,aic-g,4.093,0.036,1057,8984,4228,tunuyan.temp_min_t,2.82,0.85,0.82,0.89,0.84,0.93
dacc-temp,1,20,5517,smote,hc,aic-g,1.914,0.018,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.8,0.93,0.73,0.95
dacc-temp,1,20,5517,smote,hc,aic-g,2.159,0.019,567,4819,2268,las_paredes.temp_min_t,3.01,0.82,0.75,0.9,0.71,0.93
dacc-temp,1,20,5517,smote,hc,aic-g,2.478,0.024,698,5933,2792,la_llave.temp_min_t,3.12,0.83,0.79,0.89,0.74,0.92
dacc,1,35,5517,smote,hc,bic-g,32.409,0.104,1057,8984,4228,tunuyan.temp_min_t,2.72,0.86,0.82,0.91,0.87,0.95
dacc-spring,1,34,1829,smote,hc,loglik-g,17.947,0.058,348,2958,1392,tunuyan.temp_min_t,3.16,0.68,0.66,0.87,0.81,0.95
dacc-spring,1,34,1829,smote,hc,loglik-g,8.454,0.029,163,1385,652,agua_amarga.temp_min_t,2.6,0.75,0.65,0.92,0.55,0.95
dacc-temp,1,20,5517,normal,hc,bge,12.874,0.013,NA,3751,NA,junin.temp_min_t,2.15,0.9,0.57,0.93,0.85,0.99
dacc-temp,1,20,5517,normal,hc,bge,12.874,0.013,NA,3751,NA,tunuyan.temp_min_t,2.85,0.85,0.76,0.88,0.85,0.94
dacc-temp,1,20,5517,normal,hc,bge,12.874,0.013,NA,3751,NA,agua_amarga.temp_min_t,2.27,0.87,0.6,0.92,0.78,0.97
dacc-temp,1,20,5517,normal,hc,bge,12.874,0.013,NA,3751,NA,las_paredes.temp_min_t,2.9,0.82,0.62,0.91,0.82,0.97
dacc-temp,1,20,5517,normal,hc,bge,12.874,0.013,NA,3751,NA,la_llave.temp_min_t,3.09,0.83,0.66,0.89,0.8,0.95
dacc,1,35,5517,smote,hc,bic-g,12.087,0.046,496,4216,1984,agua_amarga.temp_min_t,2.13,0.89,0.74,0.92,0.72,0.95
dacc-spring,1,34,1829,smote,hc,loglik-g,10.373,0.036,216,1836,864,las_paredes.temp_min_t,3.3,0.67,0.73,0.89,0.56,0.91
dacc-temp,1,20,5517,smote,hc,bge,12.675,0.012,390,3315,1560,junin.temp_min_t,2.16,0.9,0.74,0.94,0.76,0.97
dacc,1,35,5517,smote,hc,bic-g,15.874,0.051,567,4819,2268,las_paredes.temp_min_t,2.86,0.84,0.76,0.9,0.72,0.93
