dataset,days,ncol,nrow,config_train,alg,score,t_run_s, t_fitted,nfrostorig,ntrain,nfrostsmote,var,RMSE,r2,Sensitivity,Acc,Precision,Specificity
dacc-spring,1,34,1829,normal,tabu,bic-g,2.312,0.012,NA,1243,NA,la_llave.temp_min_t,3.3,0.67,0.46,0.87,0.71,0.96
dacc-spring,1,34,1829,smote,tabu,bic-g,1.847,0.01,118,1003,472,junin.temp_min_t,2.37,0.79,0.47,0.94,0.59,0.97
dacc-spring,1,34,1829,smote,tabu,bic-g,7.87,0.028,348,2958,1392,tunuyan.temp_min_t,3.1,0.69,0.69,0.87,0.79,0.94
dacc-spring,1,34,1829,smote,tabu,bic-g,2.647,0.013,163,1385,652,agua_amarga.temp_min_t,2.71,0.73,0.62,0.91,0.52,0.94
dacc-temp,2,35,5516,normal,hc,loglik-g,25.378,0.075,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.59,0.93,0.83,0.98
dacc-temp,2,35,5516,normal,hc,loglik-g,25.378,0.075,NA,3750,NA,tunuyan.temp_min_t,2.75,0.86,0.78,0.89,0.87,0.95
dacc-temp,2,35,5516,normal,hc,loglik-g,25.378,0.075,NA,3750,NA,agua_amarga.temp_min_t,2.22,0.88,0.61,0.92,0.76,0.97
dacc-temp,2,35,5516,normal,hc,loglik-g,25.378,0.075,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.65,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,hc,loglik-g,25.378,0.075,NA,3750,NA,la_llave.temp_min_t,3.02,0.84,0.68,0.89,0.8,0.95
dacc-spring,1,34,1829,smote,tabu,bic-g,4.515,0.018,216,1836,864,las_paredes.temp_min_t,2.84,0.7,0.56,0.91,0.7,0.96
dacc-spring,1,34,1829,smote,tabu,bic-g,5.303,0.026,242,2057,968,la_llave.temp_min_t,3.59,0.66,0.75,0.88,0.64,0.91
dacc-spring,1,34,1829,normal,tabu,loglik-g,7.632,0.026,NA,1243,NA,junin.temp_min_t,2.42,0.78,0.56,0.94,0.59,0.97
dacc-spring,1,34,1829,normal,tabu,loglik-g,7.632,0.026,NA,1243,NA,tunuyan.temp_min_t,3.07,0.69,0.64,0.87,0.83,0.95
dacc-spring,1,34,1829,normal,tabu,loglik-g,7.632,0.026,NA,1243,NA,agua_amarga.temp_min_t,2.43,0.76,0.56,0.92,0.6,0.96
dacc-spring,1,34,1829,normal,tabu,loglik-g,7.632,0.026,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.59,0.9,0.65,0.95
dacc-spring,1,34,1829,normal,tabu,loglik-g,7.632,0.026,NA,1243,NA,la_llave.temp_min_t,3.36,0.66,0.6,0.88,0.66,0.94
dacc-spring,1,34,1829,smote,tabu,loglik-g,6.635,0.023,118,1003,472,junin.temp_min_t,2.6,0.76,0.6,0.94,0.57,0.96
dacc-temp,2,35,5516,smote,hc,loglik-g,22.413,0.066,390,3315,1560,junin.temp_min_t,2.14,0.9,0.77,0.94,0.76,0.97
dacc-spring,1,34,1829,smote,tabu,loglik-g,19.159,0.057,348,2958,1392,tunuyan.temp_min_t,3.19,0.67,0.65,0.86,0.78,0.93
dacc-spring,1,34,1829,smote,tabu,loglik-g,8.731,0.029,163,1385,652,agua_amarga.temp_min_t,2.72,0.73,0.67,0.91,0.51,0.93
dacc-spring,1,34,1829,smote,tabu,loglik-g,10.981,0.036,216,1836,864,las_paredes.temp_min_t,3.22,0.67,0.69,0.89,0.56,0.92
dacc-spring,1,34,1829,smote,tabu,loglik-g,12.312,0.04,242,2057,968,la_llave.temp_min_t,3.56,0.65,0.65,0.86,0.59,0.91
dacc-spring,1,34,1829,normal,tabu,aic-g,4.272,0.017,NA,1243,NA,junin.temp_min_t,2.39,0.78,0.51,0.94,0.63,0.98
dacc-spring,1,34,1829,normal,tabu,aic-g,4.272,0.017,NA,1243,NA,tunuyan.temp_min_t,3.09,0.69,0.65,0.87,0.81,0.94
dacc-spring,1,34,1829,normal,tabu,aic-g,4.272,0.017,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,tabu,aic-g,4.272,0.017,NA,1243,NA,las_paredes.temp_min_t,2.87,0.69,0.5,0.9,0.66,0.96
dacc-spring,1,34,1829,normal,tabu,aic-g,4.272,0.017,NA,1243,NA,la_llave.temp_min_t,3.34,0.66,0.59,0.88,0.7,0.95
dacc-spring,1,34,1829,smote,tabu,aic-g,3.057,0.014,118,1003,472,junin.temp_min_t,2.55,0.76,0.51,0.94,0.58,0.97
dacc-temp,2,35,5516,smote,hc,loglik-g,59.286,0.17,1057,8984,4228,tunuyan.temp_min_t,2.74,0.86,0.82,0.9,0.85,0.93
dacc-spring,1,34,1829,smote,tabu,aic-g,12.312,0.048,348,2958,1392,tunuyan.temp_min_t,3.11,0.69,0.69,0.88,0.82,0.94
dacc-spring,1,34,1829,smote,tabu,aic-g,4.918,0.019,163,1385,652,agua_amarga.temp_min_t,2.56,0.74,0.56,0.92,0.57,0.96
dacc-spring,1,34,1829,smote,tabu,aic-g,7.16,0.025,216,1836,864,las_paredes.temp_min_t,3.48,0.66,0.77,0.87,0.52,0.89
dacc-temp,2,35,5516,smote,hc,loglik-g,27.68,0.083,496,4216,1984,agua_amarga.temp_min_t,2.27,0.88,0.75,0.92,0.71,0.95
dacc-spring,1,34,1829,smote,tabu,aic-g,8.251,0.028,242,2057,968,la_llave.temp_min_t,3.5,0.66,0.65,0.87,0.61,0.91
dacc,1,35,5517,normal,hc,bge,157.391,0.049,NA,3751,NA,junin.temp_min_t,2.09,0.91,0.54,0.93,0.87,0.99
dacc,1,35,5517,normal,hc,bge,157.391,0.049,NA,3751,NA,tunuyan.temp_min_t,2.82,0.86,0.74,0.89,0.9,0.96
dacc,1,35,5517,normal,hc,bge,157.391,0.049,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.62,0.92,0.76,0.97
dacc,1,35,5517,normal,hc,bge,157.391,0.049,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,hc,bge,157.391,0.049,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-temp,2,35,5516,smote,hc,loglik-g,32.867,0.094,567,4819,2268,las_paredes.temp_min_t,2.94,0.83,0.75,0.9,0.71,0.93
dacc-spring,1,34,1829,normal,tabu,bge,33.78,0.014,NA,1243,NA,junin.temp_min_t,2.4,0.78,0.47,0.94,0.67,0.98
dacc-spring,1,34,1829,normal,tabu,bge,33.78,0.014,NA,1243,NA,tunuyan.temp_min_t,3.21,0.66,0.58,0.85,0.81,0.95
dacc-spring,1,34,1829,normal,tabu,bge,33.78,0.014,NA,1243,NA,agua_amarga.temp_min_t,2.45,0.75,0.53,0.92,0.57,0.96
dacc-spring,1,34,1829,normal,tabu,bge,33.78,0.014,NA,1243,NA,las_paredes.temp_min_t,2.92,0.68,0.5,0.9,0.65,0.96
dacc-spring,1,34,1829,normal,tabu,bge,33.78,0.014,NA,1243,NA,la_llave.temp_min_t,3.39,0.66,0.59,0.87,0.65,0.93
dacc-spring,1,34,1829,smote,tabu,bge,25.299,0.012,118,1003,472,junin.temp_min_t,2.24,0.81,0.33,0.94,0.7,0.99
dacc-temp,2,35,5516,smote,hc,loglik-g,39.791,0.12,698,5933,2792,la_llave.temp_min_t,3.03,0.84,0.8,0.89,0.74,0.92
dacc-temp,2,35,5516,normal,hc,aic-g,11.187,0.044,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.6,0.94,0.86,0.99
dacc-temp,2,35,5516,normal,hc,aic-g,11.187,0.044,NA,3750,NA,tunuyan.temp_min_t,2.78,0.85,0.78,0.89,0.86,0.94
dacc-temp,2,35,5516,normal,hc,aic-g,11.187,0.044,NA,3750,NA,agua_amarga.temp_min_t,2.21,0.88,0.63,0.92,0.77,0.97
dacc-temp,2,35,5516,normal,hc,aic-g,11.187,0.044,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.65,0.91,0.82,0.97
dacc-temp,2,35,5516,normal,hc,aic-g,11.187,0.044,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.67,0.89,0.81,0.95
dacc-temp,2,35,5516,smote,hc,aic-g,10.616,0.039,390,3315,1560,junin.temp_min_t,2.13,0.9,0.76,0.94,0.75,0.96
dacc-temp,2,35,5516,smote,hc,aic-g,39.552,0.126,1057,8984,4228,tunuyan.temp_min_t,2.76,0.86,0.82,0.9,0.85,0.93
dacc-temp,2,35,5516,smote,hc,aic-g,14.706,0.058,496,4216,1984,agua_amarga.temp_min_t,2.24,0.88,0.8,0.92,0.7,0.94
dacc,1,35,5517,smote,hc,bge,145.195,0.039,390,3315,1560,junin.temp_min_t,2.06,0.91,0.65,0.94,0.82,0.98
dacc-temp,2,35,5516,smote,hc,aic-g,18.335,0.063,567,4819,2268,las_paredes.temp_min_t,2.91,0.83,0.76,0.9,0.72,0.93
dacc-spring,1,34,1829,smote,tabu,bge,134.722,0.038,348,2958,1392,tunuyan.temp_min_t,3.18,0.67,0.69,0.87,0.78,0.93
dacc-temp,2,35,5516,smote,hc,aic-g,24.393,0.08,698,5933,2792,la_llave.temp_min_t,3.04,0.84,0.8,0.89,0.73,0.92
dacc-spring,1,34,1829,smote,tabu,bge,45.519,0.016,163,1385,652,agua_amarga.temp_min_t,2.62,0.76,0.65,0.92,0.55,0.94
dacc-temp,2,35,5516,normal,hc,bge,102.018,0.04,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.59,0.93,0.83,0.98
dacc-temp,2,35,5516,normal,hc,bge,102.018,0.04,NA,3750,NA,tunuyan.temp_min_t,2.78,0.85,0.78,0.89,0.86,0.94
dacc-temp,2,35,5516,normal,hc,bge,102.018,0.04,NA,3750,NA,agua_amarga.temp_min_t,2.25,0.88,0.6,0.91,0.74,0.96
dacc-temp,2,35,5516,normal,hc,bge,102.018,0.04,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.64,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,hc,bge,102.018,0.04,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.68,0.89,0.8,0.95
dacc-spring,1,34,1829,smote,tabu,bge,66.707,0.021,216,1836,864,las_paredes.temp_min_t,3.19,0.67,0.68,0.89,0.58,0.93
dacc-spring,1,34,1829,smote,tabu,bge,69.219,0.022,242,2057,968,la_llave.temp_min_t,3.68,0.65,0.73,0.87,0.6,0.9
dacc-spring,1,34,1829,normal,local,bic-g,0,0.001,NA,1243,NA,junin.temp_min_t,2.32,0.81,0.14,0.93,0.6,0.99
dacc-spring,1,34,1829,normal,local,bic-g,0,0.001,NA,1243,NA,tunuyan.temp_min_t,3.23,0.67,0.58,0.86,0.84,0.96
dacc-spring,1,34,1829,normal,local,bic-g,0,0.001,NA,1243,NA,agua_amarga.temp_min_t,2.59,0.72,0.25,0.91,0.58,0.98
dacc-spring,1,34,1829,normal,local,bic-g,0,0.001,NA,1243,NA,las_paredes.temp_min_t,2.87,0.68,0.44,0.91,0.76,0.98
dacc-spring,1,34,1829,normal,local,bic-g,0,0.001,NA,1243,NA,la_llave.temp_min_t,3.18,0.69,0.61,0.9,0.78,0.96
dacc-spring,1,34,1829,smote,local,bic-g,0,0.001,118,1003,472,junin.temp_min_t,2.25,0.81,0.3,0.93,0.59,0.98
dacc-spring,1,34,1829,smote,local,bic-g,0,0.001,348,2958,1392,tunuyan.temp_min_t,3.23,0.66,0.65,0.87,0.82,0.95
dacc-spring,1,34,1829,smote,local,bic-g,0,0.001,163,1385,652,agua_amarga.temp_min_t,2.72,0.72,0.45,0.92,0.61,0.97
dacc-spring,1,34,1829,smote,local,bic-g,0,0.001,216,1836,864,las_paredes.temp_min_t,3.02,0.67,0.55,0.9,0.64,0.95
dacc-spring,1,34,1829,smote,local,bic-g,0,0.001,242,2057,968,la_llave.temp_min_t,3.31,0.69,0.71,0.89,0.69,0.93
dacc-spring,2,63,1828,normal,hc,bic-g,12.782,0.03,NA,1242,NA,junin.temp_min_t,2.25,0.81,0.33,0.94,0.67,0.99
dacc-spring,2,63,1828,normal,hc,bic-g,12.782,0.03,NA,1242,NA,tunuyan.temp_min_t,3.11,0.69,0.6,0.86,0.84,0.96
dacc-spring,2,63,1828,normal,hc,bic-g,12.782,0.03,NA,1242,NA,agua_amarga.temp_min_t,2.44,0.76,0.53,0.92,0.59,0.96
dacc-spring,2,63,1828,normal,hc,bic-g,12.782,0.03,NA,1242,NA,las_paredes.temp_min_t,2.76,0.71,0.47,0.9,0.71,0.97
dacc-spring,2,63,1828,normal,hc,bic-g,12.782,0.03,NA,1242,NA,la_llave.temp_min_t,3.35,0.66,0.63,0.88,0.67,0.94
dacc-spring,2,63,1828,smote,hc,bic-g,11.513,0.026,118,1003,472,junin.temp_min_t,2.53,0.76,0.37,0.92,0.44,0.96
dacc-temp,2,35,5516,smote,hc,bge,104.01,0.033,390,3315,1560,junin.temp_min_t,2.17,0.9,0.69,0.93,0.75,0.97
dacc-spring,2,63,1828,smote,hc,bic-g,56.423,0.089,347,2949,1388,tunuyan.temp_min_t,3.11,0.69,0.74,0.89,0.81,0.94
dacc-spring,2,63,1828,smote,hc,bic-g,19.379,0.036,163,1385,652,agua_amarga.temp_min_t,2.68,0.75,0.69,0.92,0.55,0.94
dacc-spring,2,63,1828,smote,hc,bic-g,30.894,0.049,216,1836,864,las_paredes.temp_min_t,3.01,0.71,0.69,0.91,0.67,0.95
dacc-spring,2,63,1828,smote,hc,bic-g,34.965,0.058,242,2057,968,la_llave.temp_min_t,3.54,0.65,0.71,0.87,0.61,0.9
dacc-spring,2,63,1828,normal,hc,loglik-g,105.179,0.112,NA,1242,NA,junin.temp_min_t,2.31,0.79,0.42,0.94,0.58,0.98
dacc-spring,2,63,1828,normal,hc,loglik-g,105.179,0.112,NA,1242,NA,tunuyan.temp_min_t,3.01,0.7,0.66,0.88,0.83,0.95
dacc-spring,2,63,1828,normal,hc,loglik-g,105.179,0.112,NA,1242,NA,agua_amarga.temp_min_t,2.39,0.76,0.49,0.92,0.59,0.96
dacc-spring,2,63,1828,normal,hc,loglik-g,105.179,0.112,NA,1242,NA,las_paredes.temp_min_t,2.84,0.7,0.53,0.9,0.65,0.96
dacc-spring,2,63,1828,normal,hc,loglik-g,105.179,0.112,NA,1242,NA,la_llave.temp_min_t,3.27,0.68,0.62,0.89,0.69,0.94
dacc,1,35,5517,smote,hc,bge,578.328,0.266,1057,8984,4228,tunuyan.temp_min_t,2.71,0.86,0.82,0.91,0.87,0.95
dacc-spring,2,63,1828,smote,hc,loglik-g,93.852,0.1,118,1003,472,junin.temp_min_t,2.81,0.72,0.56,0.93,0.53,0.96
dacc-temp,2,35,5516,smote,hc,bge,379.997,0.098,1057,8984,4228,tunuyan.temp_min_t,2.77,0.85,0.81,0.9,0.85,0.94
dacc,1,35,5517,smote,hc,bge,184.932,0.049,496,4216,1984,agua_amarga.temp_min_t,2.09,0.89,0.65,0.92,0.77,0.97
dacc-temp,2,35,5516,smote,hc,bge,156.796,0.045,496,4216,1984,agua_amarga.temp_min_t,2.2,0.89,0.78,0.92,0.71,0.95
dacc-spring,2,63,1828,smote,hc,loglik-g,279.598,0.264,347,2949,1388,tunuyan.temp_min_t,3.05,0.7,0.72,0.88,0.79,0.93
dacc-temp,2,35,5516,smote,hc,bge,189.24,0.05,567,4819,2268,las_paredes.temp_min_t,2.9,0.83,0.75,0.91,0.75,0.94
dacc-spring,2,63,1828,smote,hc,loglik-g,128.469,0.131,163,1385,652,agua_amarga.temp_min_t,2.73,0.71,0.55,0.91,0.52,0.95
dacc,1,35,5517,smote,hc,bge,245.255,0.059,567,4819,2268,las_paredes.temp_min_t,2.82,0.84,0.76,0.9,0.72,0.94
dacc-spring,2,63,1828,smote,hc,loglik-g,167.201,0.167,216,1836,864,las_paredes.temp_min_t,3.27,0.68,0.74,0.89,0.56,0.91
dacc-temp,2,35,5516,smote,hc,bge,209.611,0.062,698,5933,2792,la_llave.temp_min_t,3.02,0.84,0.8,0.89,0.74,0.92
dacc-temp,2,35,5516,normal,tabu,bic-g,6.461,0.029,NA,3750,NA,junin.temp_min_t,2.12,0.9,0.59,0.93,0.84,0.98
dacc-temp,2,35,5516,normal,tabu,bic-g,6.461,0.029,NA,3750,NA,tunuyan.temp_min_t,2.77,0.85,0.78,0.89,0.86,0.94
dacc-temp,2,35,5516,normal,tabu,bic-g,6.461,0.029,NA,3750,NA,agua_amarga.temp_min_t,2.23,0.88,0.62,0.92,0.76,0.97
dacc-temp,2,35,5516,normal,tabu,bic-g,6.461,0.029,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.64,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,tabu,bic-g,6.461,0.029,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.68,0.89,0.8,0.95
dacc-temp,2,35,5516,smote,tabu,bic-g,5.874,0.027,390,3315,1560,junin.temp_min_t,2.15,0.9,0.74,0.94,0.76,0.97
dacc-temp,2,35,5516,smote,tabu,bic-g,22.639,0.085,1057,8984,4228,tunuyan.temp_min_t,2.76,0.86,0.82,0.9,0.85,0.94
dacc-temp,2,35,5516,smote,tabu,bic-g,8.104,0.035,496,4216,1984,agua_amarga.temp_min_t,2.28,0.88,0.75,0.92,0.72,0.95
dacc-temp,2,35,5516,smote,tabu,bic-g,8.68,0.043,567,4819,2268,las_paredes.temp_min_t,2.89,0.83,0.75,0.9,0.72,0.93
dacc-temp,2,35,5516,smote,tabu,bic-g,12.868,0.052,698,5933,2792,la_llave.temp_min_t,3.06,0.84,0.8,0.89,0.74,0.92
dacc-temp,2,35,5516,normal,tabu,loglik-g,27.395,0.075,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.59,0.93,0.83,0.98
dacc-temp,2,35,5516,normal,tabu,loglik-g,27.395,0.075,NA,3750,NA,tunuyan.temp_min_t,2.75,0.86,0.78,0.89,0.87,0.95
dacc-temp,2,35,5516,normal,tabu,loglik-g,27.395,0.075,NA,3750,NA,agua_amarga.temp_min_t,2.22,0.88,0.61,0.92,0.76,0.97
dacc-temp,2,35,5516,normal,tabu,loglik-g,27.395,0.075,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.65,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,tabu,loglik-g,27.395,0.075,NA,3750,NA,la_llave.temp_min_t,3.02,0.84,0.68,0.89,0.8,0.95
dacc-temp,2,35,5516,smote,tabu,loglik-g,22.611,0.066,390,3315,1560,junin.temp_min_t,2.12,0.9,0.73,0.94,0.77,0.97
dacc,1,35,5517,smote,hc,bge,328.793,0.074,698,5933,2792,la_llave.temp_min_t,3.05,0.84,0.81,0.89,0.74,0.92
dacc,1,35,5517,normal,tabu,bic-g,11.272,0.039,NA,3751,NA,junin.temp_min_t,2.14,0.91,0.53,0.93,0.87,0.99
dacc,1,35,5517,normal,tabu,bic-g,11.272,0.039,NA,3751,NA,tunuyan.temp_min_t,2.83,0.85,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,tabu,bic-g,11.272,0.039,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.9,0.63,0.92,0.77,0.97
dacc,1,35,5517,normal,tabu,bic-g,11.272,0.039,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.81,0.97
dacc,1,35,5517,normal,tabu,bic-g,11.272,0.039,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.72,0.9,0.8,0.95
dacc-spring,2,63,1828,smote,hc,loglik-g,197.026,0.186,242,2057,968,la_llave.temp_min_t,3.36,0.68,0.7,0.88,0.64,0.92
dacc,1,35,5517,smote,tabu,bic-g,9.892,0.035,390,3315,1560,junin.temp_min_t,2.08,0.91,0.64,0.94,0.82,0.98
dacc-temp,2,35,5516,smote,tabu,loglik-g,64.951,0.167,1057,8984,4228,tunuyan.temp_min_t,2.75,0.86,0.82,0.9,0.85,0.93
dacc-spring,2,63,1828,normal,hc,aic-g,31.729,0.05,NA,1242,NA,junin.temp_min_t,2.34,0.79,0.47,0.94,0.61,0.98
dacc-spring,2,63,1828,normal,hc,aic-g,31.729,0.05,NA,1242,NA,tunuyan.temp_min_t,3.03,0.7,0.68,0.88,0.81,0.94
dacc-spring,2,63,1828,normal,hc,aic-g,31.729,0.05,NA,1242,NA,agua_amarga.temp_min_t,2.39,0.76,0.53,0.92,0.59,0.96
dacc-spring,2,63,1828,normal,hc,aic-g,31.729,0.05,NA,1242,NA,las_paredes.temp_min_t,2.91,0.69,0.55,0.9,0.64,0.95
dacc-spring,2,63,1828,normal,hc,aic-g,31.729,0.05,NA,1242,NA,la_llave.temp_min_t,3.28,0.67,0.6,0.88,0.69,0.94
dacc,1,35,5517,smote,tabu,bic-g,36.386,0.114,1057,8984,4228,tunuyan.temp_min_t,2.78,0.85,0.83,0.91,0.87,0.94
dacc-temp,2,35,5516,smote,tabu,loglik-g,29.888,0.083,496,4216,1984,agua_amarga.temp_min_t,2.28,0.88,0.78,0.92,0.72,0.95
dacc,1,35,5517,smote,tabu,bic-g,14.193,0.048,496,4216,1984,agua_amarga.temp_min_t,2.09,0.9,0.74,0.93,0.74,0.96
dacc-spring,2,63,1828,smote,hc,aic-g,35.833,0.05,118,1003,472,junin.temp_min_t,2.44,0.79,0.51,0.94,0.58,0.97
dacc,1,35,5517,smote,tabu,bic-g,16.535,0.053,567,4819,2268,las_paredes.temp_min_t,2.86,0.83,0.7,0.89,0.71,0.94
dacc-temp,2,35,5516,smote,tabu,loglik-g,32.815,0.101,567,4819,2268,las_paredes.temp_min_t,2.91,0.83,0.76,0.91,0.74,0.94
dacc,1,35,5517,smote,tabu,bic-g,20.48,0.066,698,5933,2792,la_llave.temp_min_t,2.99,0.85,0.8,0.9,0.75,0.92
dacc-temp,2,35,5516,smote,tabu,loglik-g,42.854,0.118,698,5933,2792,la_llave.temp_min_t,3.03,0.84,0.8,0.89,0.74,0.92
dacc,1,35,5517,normal,tabu,loglik-g,25.399,0.079,NA,3751,NA,junin.temp_min_t,2.04,0.91,0.57,0.94,0.88,0.99
dacc,1,35,5517,normal,tabu,loglik-g,25.399,0.079,NA,3751,NA,tunuyan.temp_min_t,2.76,0.86,0.76,0.9,0.89,0.96
dacc,1,35,5517,normal,tabu,loglik-g,25.399,0.079,NA,3751,NA,agua_amarga.temp_min_t,2.08,0.89,0.62,0.92,0.77,0.97
dacc,1,35,5517,normal,tabu,loglik-g,25.399,0.079,NA,3751,NA,las_paredes.temp_min_t,2.75,0.84,0.61,0.9,0.81,0.97
dacc,1,35,5517,normal,tabu,loglik-g,25.399,0.079,NA,3751,NA,la_llave.temp_min_t,2.93,0.85,0.73,0.9,0.8,0.95
dacc-temp,2,35,5516,normal,tabu,aic-g,11.44,0.043,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.6,0.94,0.86,0.99
dacc-temp,2,35,5516,normal,tabu,aic-g,11.44,0.043,NA,3750,NA,tunuyan.temp_min_t,2.78,0.85,0.78,0.89,0.86,0.94
dacc-temp,2,35,5516,normal,tabu,aic-g,11.44,0.043,NA,3750,NA,agua_amarga.temp_min_t,2.21,0.88,0.63,0.92,0.77,0.97
dacc-temp,2,35,5516,normal,tabu,aic-g,11.44,0.043,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.65,0.91,0.82,0.97
dacc-temp,2,35,5516,normal,tabu,aic-g,11.44,0.043,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.67,0.89,0.81,0.95
dacc,1,35,5517,smote,tabu,loglik-g,22.755,0.066,390,3315,1560,junin.temp_min_t,2.04,0.91,0.67,0.94,0.82,0.98
dacc-temp,2,35,5516,smote,tabu,aic-g,12.58,0.043,390,3315,1560,junin.temp_min_t,2.14,0.9,0.77,0.94,0.74,0.96
dacc-temp,2,35,5516,smote,tabu,aic-g,44.158,0.131,1057,8984,4228,tunuyan.temp_min_t,2.77,0.86,0.83,0.9,0.85,0.93
dacc-temp,2,35,5516,smote,tabu,aic-g,15.168,0.051,496,4216,1984,agua_amarga.temp_min_t,2.26,0.88,0.72,0.92,0.72,0.95
dacc,1,35,5517,smote,tabu,loglik-g,62.777,0.176,1057,8984,4228,tunuyan.temp_min_t,2.68,0.86,0.82,0.91,0.88,0.95
dacc-spring,2,63,1828,smote,hc,aic-g,146.978,0.154,347,2949,1388,tunuyan.temp_min_t,3.06,0.69,0.71,0.87,0.78,0.93
dacc-temp,2,35,5516,smote,tabu,aic-g,18.083,0.067,567,4819,2268,las_paredes.temp_min_t,2.9,0.83,0.76,0.9,0.72,0.93
dacc,1,35,5517,smote,tabu,loglik-g,30.133,0.083,496,4216,1984,agua_amarga.temp_min_t,2.11,0.89,0.7,0.92,0.76,0.96
dacc-temp,2,35,5516,smote,tabu,aic-g,24.795,0.078,698,5933,2792,la_llave.temp_min_t,3.05,0.84,0.81,0.89,0.74,0.92
dacc-spring,2,63,1828,smote,hc,aic-g,47.879,0.07,163,1385,652,agua_amarga.temp_min_t,2.6,0.74,0.58,0.92,0.59,0.96
dacc,1,35,5517,smote,tabu,loglik-g,36.07,0.1,567,4819,2268,las_paredes.temp_min_t,2.8,0.84,0.69,0.9,0.73,0.94
dacc,1,35,5517,smote,tabu,loglik-g,39.906,0.261,698,5933,2792,la_llave.temp_min_t,2.95,0.85,0.8,0.9,0.76,0.93
dacc-spring,2,63,1828,smote,hc,aic-g,70.23,0.085,216,1836,864,las_paredes.temp_min_t,3.42,0.66,0.77,0.88,0.54,0.9
dacc,1,35,5517,normal,tabu,aic-g,16.269,0.051,NA,3751,NA,junin.temp_min_t,2.07,0.91,0.6,0.94,0.85,0.99
dacc,1,35,5517,normal,tabu,aic-g,16.269,0.051,NA,3751,NA,tunuyan.temp_min_t,2.79,0.86,0.75,0.89,0.89,0.96
dacc,1,35,5517,normal,tabu,aic-g,16.269,0.051,NA,3751,NA,agua_amarga.temp_min_t,2.07,0.9,0.63,0.92,0.76,0.97
dacc,1,35,5517,normal,tabu,aic-g,16.269,0.051,NA,3751,NA,las_paredes.temp_min_t,2.77,0.84,0.6,0.9,0.8,0.97
dacc,1,35,5517,normal,tabu,aic-g,16.269,0.051,NA,3751,NA,la_llave.temp_min_t,2.94,0.85,0.73,0.9,0.79,0.94
dacc,1,35,5517,smote,tabu,aic-g,15.003,0.048,390,3315,1560,junin.temp_min_t,2.14,0.9,0.73,0.94,0.76,0.97
dacc-temp,2,35,5516,normal,tabu,bge,111.141,0.041,NA,3750,NA,junin.temp_min_t,2.11,0.9,0.59,0.93,0.83,0.98
dacc-temp,2,35,5516,normal,tabu,bge,111.141,0.041,NA,3750,NA,tunuyan.temp_min_t,2.78,0.85,0.78,0.89,0.86,0.94
dacc-temp,2,35,5516,normal,tabu,bge,111.141,0.041,NA,3750,NA,agua_amarga.temp_min_t,2.25,0.88,0.6,0.91,0.74,0.96
dacc-temp,2,35,5516,normal,tabu,bge,111.141,0.041,NA,3750,NA,las_paredes.temp_min_t,2.82,0.83,0.64,0.91,0.81,0.97
dacc-temp,2,35,5516,normal,tabu,bge,111.141,0.041,NA,3750,NA,la_llave.temp_min_t,3.03,0.84,0.68,0.89,0.8,0.95
dacc,1,35,5517,smote,tabu,aic-g,47.425,0.134,1057,8984,4228,tunuyan.temp_min_t,2.75,0.86,0.83,0.91,0.87,0.94
dacc-spring,2,63,1828,smote,hc,aic-g,80.436,0.1,242,2057,968,la_llave.temp_min_t,3.32,0.68,0.66,0.88,0.65,0.93
dacc,1,35,5517,smote,tabu,aic-g,21.056,0.062,496,4216,1984,agua_amarga.temp_min_t,2.07,0.9,0.7,0.93,0.77,0.96
