"","date-max","X21.HumRel-max","X45.soilMoisture-max","X44.soilMoisture-max","X28.temp-max","X27.temp-max","X25.temp-max","X24.temp-max","X23.temp-max","X22.temp-max","X21.temp-max","X21.HumRel-mean","X45.soilMoisture-mean","X44.soilMoisture-mean","X28.temp-mean","X27.temp-mean","X25.temp-mean","X24.temp-mean","X23.temp-mean","X22.temp-mean","X21.temp-mean","X21.HumRel-min","X45.soilMoisture-min","X44.soilMoisture-min","X28.temp-min","X27.temp-min","X25.temp-min","X24.temp-min","X23.temp-min","X22.temp-min","X21.temp-min"
"1",2011-06-23,93,15.5024945395476,12.3999407587716,14.3,31.9,14.19,13.56,14.8,13.81,13.73,81.6847350894219,15.5011150568498,12.3988158884336,10.1827021887168,10.2814447264905,9.87862662784814,9.56235149286943,9.95077303675083,9.88638209574379,9.67376733600546,70,15.4997355741525,12.3976910180954,4.4,5,4.13,4.5,3.8,4,3.66
"2",2011-06-24,95,15.5083803323916,12.3976410238582,15.8,16.1,15.88,15.69,16.6,14.69,15.73,87.1979166666667,15.5054680911407,12.3952662975886,7.87395833333333,7.47682637669143,7.5236222192896,7.321875,7.42606555105152,7.10197916666667,7.19708333333333,65,15.5025558498897,12.3928915713191,2.1,1.9,1.5,1.75,2.4,1.75,1.65
"3",2011-06-25,94,15.5143887459198,12.3928415770819,11.5,11.2,11.75,11.69,12.1,10.94,11.2,87.0338030433924,15.5114151943268,12.3904168565751,7.33887025534605,7.04806655370573,6.77695912117945,6.78171192960853,7.17863884565355,6.76047740631793,6.74811167765358,74,15.5084416427337,12.3879921360683,3,2.7,2.56,2.81,2.6,2.44,2.51
"4",2011-06-26,88,15.5203358491063,12.3879421418311,10.6,10.5,10.69,10.94,11.4,10,10.03,75.9325419430445,15.517392952684,12.3855424184429,5.8259069379137,5.25901655783467,5.31736021081398,4.86167061625158,5.50630827119989,5.26474226804124,5.24359019984562,58,15.5144500562619,12.3831426950548,1.5,0.8,0.38,0.31,1.1,0.81,0.8
"5",2011-06-27,92,15.5262829522931,12.3830927008175,12.3,12.3,12.31,12.63,13,12.19,11.89,79.067063499729,15.5233400558707,12.3806929774294,3.66743118992638,3.53313151992287,3.41247422680412,3.17004936550952,2.98388346551149,2.89384065274097,2.90038057734222,53,15.5203971594484,12.3782932540412,-3.6,-2.8,-3.5,-3.81,-3.7,-3.75,-3.95
"6",2011-06-28,92,15.5322300554801,12.378243259804,15.4,15.7,15.06,14.63,15.4,15.19,15.03,78.4329896907217,15.5292871590576,12.3758435364158,5.22273048976867,5.61376351593134,5.43735771145139,4.91196746052663,4.38514153618623,4.42265960353577,4.28896907216495,49,15.5263442626352,12.3734438130277,-3,-2.7,-3.62,-3.69,-3.4,-3.87,-3.85
"7",2011-06-29,91,15.5381771586672,12.3733938187904,16.1,17.9,15.75,15,15.9,16.63,15.81,75.010461293501,15.5352342622447,12.3709940954023,7.83799030146769,7.77250690380272,7.64,7.34952296385964,7.29207929588693,7.12318154571105,7.02743481897086,45,15.5322913658222,12.3685943720142,-0.1,0.5,-0.31,-1.19,-0.8,-1,-0.73
"8",2011-06-30,92,15.5440629515124,12.3685443777769,16.4,15.7,16.5,16.13,15.8,18,15.33,77.0729166666667,15.5411507102609,12.3661696515074,8.24895833333333,7.74375,7.59614583333333,7.55166666666667,7.82708333333333,7.59583333333333,7.44666666666667,59,15.5382384690094,12.3637949252379,2.8,2.6,1.44,2.19,1.7,1.63,1.97
"9",2011-07-01,88,15.5501326753837,12.3637449310006,12.1,12.6,12.25,11.88,12.5,11.38,11.57,68.7926832808262,15.5471284686193,12.3612952133753,3.88659433898888,3.71398971539457,3.47758747049833,3.39868129698032,3.14401786407039,3.10212380243784,3.07515103938718,41,15.5441242618546,12.3588454957499,-4.1,-3.2,-4.25,-4.06,-4.6,-4.62,-4.65
"10",2011-07-02,92.2928507368535,15.5560797785681,12.3587955015126,11.6,12.3,11.88,11.31,12.4,10.88,11.13,74.6834314508954,15.5531368821469,12.3563957781244,3.44408541580336,3.21752577319588,3.20796107066312,2.90584114005788,2.69168407032994,2.41949043088514,2.5345514725444,43,15.5501939857259,12.3539960547363,-2.4,-1.9,-2.12,-2.44,-2.9,-2.81,-3.03
