dataset,var,config.train,config.vars,T,alg,t_run_s,FAR,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,ROC,Sens,Spec
dacc-temp,agua_amarga.temp_min,smote,local,3,glm,13.226,0.4,0.8975084938,0.6477784365,0.8824131502,0.9112677675,0.855605889,1.01E-07,9.94E-16,0.8588235294,0.9040370615,0.6016483516,0.9743223966,0.6016483516,0.8588235294,0.7075928918,0.144394111,0.12400906,0.2061155153,0.8814302955,0.9654729381,0.9072580645,0.9083922533
dacc-temp,agua_amarga.temp_min,smote,local,4,glm,15.851,0.39,0.8997167139,0.6536049896,0.8847487137,0.9133401226,0.8555240793,1.95E-08,5.4E-15,0.8588235294,0.9066225166,0.6083333333,0.9743772242,0.6083333333,0.8588235294,0.712195122,0.1444759207,0.1240793201,0.2039660057,0.882723023,0.9657468788,0.9032258065,0.9080848448
dacc,las_paredes.temp_min,smote,local,1,rpart,29.722,0.42,0.8601359003,0.6000605133,0.8430779345,0.8759872526,0.8182332956,1.439098252E-06,0,0.8411214953,0.8643598616,0.5793991416,0.9607692308,0.5793991416,0.8411214953,0.6861499365,0.1817667044,0.1528878822,0.2638731597,0.8527406785,0.9175205281,0.9153439153,0.841080402
dacc-temp,agua_amarga.temp_min,normal,all,1,rpart,2.958,0.21,0.9077010193,0.5580187013,0.8932321376,0.9207979196,0.855605889,2.76E-11,1.8E-13,0.4941176471,0.9774983455,0.7875,0.9196762142,0.7875,0.4941176471,0.6072289157,0.144394111,0.07134767837,0.0906002265,0.7358079963,0.8985673406,0.5705645161,0.980952381
dacc,junin.temp_min,smote,local,1,glm,16.603,0.33,0.9320498301,0.7276358608,0.919295408,0.9433445879,0.8742921857,0,2.999405112E-10,0.8873873874,0.9384715026,0.6746575342,0.9830393487,0.6746575342,0.8873873874,0.766536965,0.1257078143,0.1115515289,0.1653454134,0.912929445,0.970672743,0.8897435897,0.9166418577
dacc-temp,agua_amarga.temp_min,smote,all,1,C5.0,41.69,0.42,0.8901472254,0.6281419253,0.8746266403,0.9043574793,0.855605889,1.13E-05,1.3E-17,0.8549019608,0.8960953011,0.5813333333,0.9734004313,0.5813333333,0.8549019608,0.6920634921,0.144394111,0.1234428086,0.2123442809,0.875498631,0.9754682622,0.9717741935,0.9287250384
dacc,las_paredes.temp_min,normal,local,2,rpart,22.206,0.19,0.9003397508,0.6239507338,0.8854138401,0.9139196509,0.8182332956,5.02E-22,1.96E-11,0.5856697819,0.9702422145,0.8138528139,0.9133550489,0.8138528139,0.5856697819,0.6811594203,0.1817667044,0.1064552661,0.130804077,0.7779559982,0.9140805902,0.6419753086,0.9732956331
dacc,junin.temp_min,smote,all,3,glm,39.125,0.42,0.9026047565,0.6332879398,0.8878168723,0.916038659,0.8742921857,0.000122,3.39E-16,0.8558558559,0.9093264249,0.5757575758,0.9777158774,0.5757575758,0.8558558559,0.6884057971,0.1257078143,0.107587769,0.1868629672,0.8825911404,0.9762253723,0.9384615385,0.9297409943
dacc,junin.temp_min,smote,all,1,rpart,36.361,0.41,0.9037372593,0.621860594,0.8890192385,0.9170973065,0.8742921857,6.57E-05,5.22E-10,0.8018018018,0.9183937824,0.5855263158,0.9699042408,0.5855263158,0.8018018018,0.6768060837,0.1257078143,0.100792752,0.1721404304,0.8600977921,0.9716438179,0.941025641,0.9250223148
dacc,agua_amarga.temp_min,smote,all,2,rpart,98.386,0.35,0.9116647792,0.6837341721,0.8974525376,0.9244909714,0.855605889,6.43E-13,2.53E-10,0.8509803922,0.9219060225,0.647761194,0.9734451433,0.647761194,0.8509803922,0.7355932203,0.144394111,0.1228765572,0.1896942242,0.8864432073,0.9405266719,0.9092741935,0.9121081746
dacc,las_paredes.temp_min,normal,local,1,rpart,30.554,0.21,0.8969422424,0.6163481624,0.8818134155,0.9107369847,0.8182332956,3E-20,4.75E-09,0.5919003115,0.9647058824,0.7883817427,0.9140983607,0.7883817427,0.5919003115,0.6761565836,0.1817667044,0.107587769,0.1364665912,0.7783030969,0.8954023867,0.5273368607,0.9692211055
dacc-temp,agua_amarga.temp_min,smote,all,1,rpart,17.252,0.36,0.9105322763,0.6806005481,0.896245918,0.9234366114,0.855605889,1.95E-12,1.16E-10,0.8509803922,0.9205823958,0.6439169139,0.9734079776,0.6439169139,0.8509803922,0.7331081081,0.144394111,0.1228765572,0.1908267271,0.885781394,0.9450751945,0.9092741935,0.9235023041
dacc,junin.temp_min,smote,all,2,rf,2160.662,0.33,0.9280860702,0.7072716784,0.915027891,0.9396991028,0.8742921857,1.58E-13,1.01E-07,0.8513513514,0.939119171,0.667844523,0.9777478085,0.667844523,0.8513513514,0.7485148515,0.1257078143,0.1070215176,0.1602491506,0.8952352612,0.997527091,1,0.9568452381
dacc,junin.temp_min,normal,all,2,rpart,32.071,0.28,0.9229898075,0.6311589707,0.9095564501,0.9349965218,0.8742921857,3.12E-11,0.0320543414,0.6351351351,0.9643782383,0.7193877551,0.9484076433,0.7193877551,0.6351351351,0.6746411483,0.1257078143,0.0798414496,0.1109852775,0.7997566867,0.9227762515,0.7282051282,0.9758928571
dacc,junin.temp_min,smote,all,2,C5.0,200.763,0.42,0.9014722537,0.6180511015,0.8866150757,0.9149794375,0.8742921857,0.0002196196,1.51E-11,0.8108108108,0.914507772,0.5769230769,0.9711141678,0.5769230769,0.8108108108,0.6741573034,0.1257078143,0.1019252548,0.1766704417,0.8626592914,0.980667735,0.9743589744,0.9464285714
dacc,las_paredes.temp_min,normal,local,2,glm,39.362,0.14,0.9020385051,0.6184258841,0.8872159034,0.9155091194,0.8182332956,5.97E-23,1.66E-17,0.554517134,0.9792387543,0.8557692308,0.9082156611,0.8557692308,0.554517134,0.6729678639,0.1817667044,0.100792752,0.1177802945,0.7668779441,0.9551054128,0.6402116402,0.9651272385
dacc-temp,agua_amarga.temp_min,smote,local,2,glm,12.095,0.4,0.8958097395,0.6394454714,0.8806143414,0.9096750209,0.855605889,3.28E-07,3.12E-14,0.8431372549,0.9046988749,0.5988857939,0.9715707178,0.5988857939,0.8431372549,0.7003257329,0.144394111,0.1217440544,0.2032842582,0.8739180649,0.9648490939,0.9012096774,0.9090350338
dacc,las_paredes.temp_min,normal,all,2,C5.0,166.087,0.26,0.8907134768,0.6053389098,0.8752248498,0.9048897979,0.8182332956,3.08E-17,5.55E-05,0.6105919003,0.9529411765,0.7424242424,0.9167776298,0.7424242424,0.6105919003,0.6700854701,0.1817667044,0.1109852775,0.1494903737,0.7817665384,0.9106407995,0.7319223986,0.9497329563
