dataset,var,config.train,config.vars,T,alg,t_run_s,FAR,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue,Sensitivity,Specificity,Pos Pred Value,Neg Pred Value,Precision,Recall,F1,Prevalence,Detection Rate,Detection Prevalence,Balanced Accuracy,ROC,Sens,Spec
dacc,las_paredes.temp_min,normal,local,2,rf,5452.849,0.16,0.8997734994,0.610696378,0.88481343,0.9133895483,0.8182332956,1.01E-21,1.36E-16,0.5514018692,0.9771626298,0.8428571429,0.9074550129,0.8428571429,0.5514018692,0.6666666667,0.1817667044,0.1002265006,0.1189127973,0.7642822495,1,1,1
dacc,agua_amarga.temp_min,smote,local,3,rpart,16.859,0.34,0.9133635334,0.6801307898,0.8992636878,0.9260712804,0.855605889,1.16E-13,2.75E-06,0.8156862745,0.9298477829,0.6624203822,0.967630854,0.6624203822,0.8156862745,0.7311072056,0.144394111,0.1177802945,0.1778029445,0.8727670287,0.9414423906,0.8991935484,0.9188441439
dacc,las_paredes.temp_min,normal,local,1,rf,642.747,0.17,0.8969422424,0.5991379418,0.8818134155,0.9107369847,0.8182332956,3E-20,1.91E-16,0.5420560748,0.9757785467,0.8325358852,0.9055876686,0.8325358852,0.5420560748,0.6566037736,0.1817667044,0.09852774632,0.1183465459,0.7589173107,1,1,1
dacc,junin.temp_min,smote,local,2,rf,1817.234,0.3,0.9354107649,0.730230151,0.9229189523,0.9464296576,0.8742209632,0,2.501811903E-05,0.8468468468,0.9481529488,0.7014925373,0.9772879092,0.7014925373,0.8468468468,0.7673469388,0.1257790368,0.1065155807,0.1518413598,0.8974998978,0.9983358906,1,0.9630842513
dacc-temp,junin.temp_min,smote,local,3,rf,299.638,0.33,0.9286523216,0.7060259683,0.9156368728,0.940220557,0.8742921857,0,2.339789578E-06,0.8378378378,0.9417098446,0.6739130435,0.9758389262,0.6739130435,0.8378378378,0.7469879518,0.1257078143,0.1053227633,0.1562853907,0.8897738412,0.9981118465,1,0.9586186365
dacc,junin.temp_min,smote,all,2,glm,56.281,0.39,0.912797282,0.6551533503,0.8986598064,0.9255446768,0.8742921857,1.89E-07,5.48E-10,0.8288288288,0.9248704663,0.6133333333,0.9740791269,0.6133333333,0.8288288288,0.7049808429,0.1257078143,0.1041902605,0.1698754247,0.8768496476,0.9740438034,0.9025641026,0.9244047619
dacc-temp,junin.temp_min,smote,local,4,rf,1517.917,0.34,0.9246458924,0.6880311723,0.9113285827,0.9365297417,0.8742209632,0,1.453962198E-05,0.8153153153,0.9403758911,0.663003663,0.9725201072,0.663003663,0.8153153153,0.7313131313,0.1257790368,0.1025495751,0.154674221,0.8778456032,0.9976503996,1,0.9618934207
dacc,junin.temp_min,smote,local,1,rf,1674.208,0.3,0.9314835787,0.7069430387,0.9186850868,0.9428244877,0.8742921857,0,0.003624814385,0.8018018018,0.9501295337,0.6980392157,0.9708802118,0.6980392157,0.8018018018,0.7463312369,0.1257078143,0.100792752,0.144394111,0.8759656677,0.9987187121,1,0.961595713
dacc,junin.temp_min,smote,all,4,glm,51.745,0.4,0.904815864,0.6120635519,0.890160492,0.9181086753,0.8742209632,3.46E-05,5.32E-06,0.7567567568,0.926117952,0.5957446809,0.963587323,0.5957446809,0.7567567568,0.6666666667,0.1257790368,0.09518413598,0.1597733711,0.8414373544,0.9792963412,0.9384615385,0.935992855
dacc,agua_amarga.temp_min,smote,local,2,rpart,42.02,0.41,0.892412231,0.6234904947,0.8770202154,0.9064860115,0.855605889,2.930254894E-06,0,0.8156862745,0.9053606883,0.5925925926,0.9667844523,0.5925925926,0.8156862745,0.6864686469,0.144394111,0.1177802945,0.1987542469,0.8605234814,0.9438439291,0.8951612903,0.9047326368
dacc-temp,agua_amarga.temp_min,smote,all,3,C5.0,79.984,0.4,0.8941109853,0.6278619546,0.8788167047,0.9080810939,0.855605889,1.01E-06,1.72E-11,0.8156862745,0.9073461284,0.5977011494,0.966854725,0.5977011494,0.8156862745,0.6898839138,0.144394111,0.1177802945,0.1970554926,0.8615162015,0.9767209301,0.9919354839,0.9462035045
dacc,tunuyan.temp_min,smote,local,1,rf,4825.294,0.2,0.8975084938,0.7684795001,0.8824131502,0.9112677675,0.6874292186,0,8.204961428E-06,0.8913043478,0.9003294893,0.8026101142,0.9479618387,0.8026101142,0.8913043478,0.8446351931,0.3125707814,0.2785956965,0.3471121178,0.8958169186,0.9990894215,1,0.9884843982
dacc,junin.temp_min,normal,all,1,glm,26.566,0.16,0.9388448471,0.6894429356,0.9266381864,0.9495666468,0.8742921857,2.29E-19,3.4E-07,0.6351351351,0.9825129534,0.8392857143,0.9493116395,0.8392857143,0.6351351351,0.7230769231,0.1257078143,0.0798414496,0.0951302378,0.8088240443,0.9713424729,0.6538461538,0.9747099078
dacc,junin.temp_min,normal,all,3,glm,13.266,0.26,0.9258210646,0.6395974514,0.9125940881,0.9376111391,0.8742921857,1.79E-12,0.00517629416,0.6306306306,0.9682642487,0.7407407407,0.9480025365,0.7407407407,0.6306306306,0.6812652068,0.1257078143,0.07927519819,0.1070215176,0.7994474397,0.9784383325,0.7051282051,0.9800535874
dacc,junin.temp_min,normal,all,1,rf,796.578,0.17,0.9354473386,0.669342706,0.9229623073,0.9464601607,0.8742921857,2.27E-17,9.37E-08,0.6126126126,0.981865285,0.8292682927,0.9463171036,0.8292682927,0.6126126126,0.7046632124,0.1257078143,0.07701019253,0.09286523216,0.7972389488,1,1,1
dacc,junin.temp_min,normal,all,2,glm,25.188,0.24,0.9252548131,0.6268560196,0.9119861574,0.9370886228,0.8742921857,3.22E-12,8.98E-05,0.5990990991,0.9721502591,0.7556818182,0.9440251572,0.7556818182,0.5990990991,0.6683417085,0.1257078143,0.0753114383,0.0996602492,0.7856246791,0.9756318681,0.6871794872,0.9779761905
dacc-temp,junin.temp_min,normal,local,4,glm,9.218,0.18,0.9331444759,0.6547190769,0.9204720234,0.9443523919,0.8742209632,0,1.959887972E-08,0.5945945946,0.9818535321,0.825,0.9439252336,0.825,0.5945945946,0.6910994764,0.1257790368,0.07478753541,0.09065155807,0.7882240633,0.9646926359,0.6102564103,0.9758856803
dacc-temp,junin.temp_min,normal,local,1,C5.0,17.724,0.21,0.926387316,0.6196311293,0.9132022247,0.9381334474,0.8742921857,0,8.792803121E-08,0.5675675676,0.9779792746,0.7875,0.9402241594,0.7875,0.5675675676,0.6596858639,0.1257078143,0.07134767837,0.0906002265,0.7727734211,0.9227164534,0.6564102564,0.9756024993
dacc,las_paredes.temp_min,smote,local,1,rf,767.348,0.28,0.9014722537,0.6711549451,0.8866150757,0.9149794375,0.8182332956,0,0.7046514611,0.738317757,0.937716263,0.7247706422,0.9416261293,0.7247706422,0.738317757,0.7314814815,0.1817667044,0.1342015855,0.1851642129,0.83801701,0.9971321001,1,0.9663944724
dacc-temp,junin.temp_min,normal,local,1,rpart,8.321,0.19,0.9275198188,0.6188034995,0.9144191239,0.9391774316,0.8742921857,0,1.068703609E-09,0.5540540541,0.9812176166,0.8092105263,0.93866171,0.8092105263,0.5540540541,0.6577540107,0.1257078143,0.06964892412,0.08607021518,0.7676358353,0.9106557877,0.5871794872,0.9723296638
dacc-temp,junin.temp_min,normal,local,2,rpart,9.166,0.19,0.9275198188,0.6188034995,0.9144191239,0.9391774316,0.8742921857,0,1.068703609E-09,0.5540540541,0.9812176166,0.8092105263,0.93866171,0.8092105263,0.5540540541,0.6577540107,0.1257078143,0.06964892412,0.08607021518,0.7676358353,0.9106452228,0.5871794872,0.9723214286
dacc-temp,agua_amarga.temp_min,smote,all,4,C5.0,91.18,0.4,0.8946175637,0.6292854239,0.8793480542,0.9085603694,0.8555240793,6.96E-07,2.52E-11,0.8156862745,0.9079470199,0.5994236311,0.966854725,0.5994236311,0.8156862745,0.6910299003,0.1444759207,0.1178470255,0.1966005666,0.8618166472,0.9855827871,0.9939516129,0.9495849985
dacc,agua_amarga.temp_min,smote,local,3,glm,17.973,0.34,0.9110985277,0.6727413937,0.8968491473,0.9239638725,0.855605889,1.12E-12,1.68E-06,0.8117647059,0.9278623428,0.6550632911,0.9668965517,0.6550632911,0.8117647059,0.7250437828,0.144394111,0.117214043,0.1789354473,0.8698135244,0.972851363,0.9072580645,0.9219182293
dacc-temp,junin.temp_min,normal,local,3,rpart,8.816,0.19,0.9275198188,0.6188034995,0.9144191239,0.9391774316,0.8742921857,0,1.068703609E-09,0.5540540541,0.9812176166,0.8092105263,0.93866171,0.8092105263,0.5540540541,0.6577540107,0.1257078143,0.06964892412,0.08607021518,0.7676358353,0.9106346516,0.5871794872,0.9723131884
dacc,junin.temp_min,normal,all,4,glm,20.183,0.25,0.9240793201,0.6211754756,0.9107207168,0.9360065171,0.8742209632,1.02E-11,0.000101,0.5945945946,0.9714841218,0.75,0.9433606042,0.75,0.5945945946,0.6633165829,0.1257790368,0.07478753541,0.09971671388,0.7830393582,0.9814833475,0.7358974359,0.9806490027
dacc-temp,junin.temp_min,normal,local,4,rpart,14.366,0.29,0.9184135977,0.6046171557,0.9046527159,0.930763509,0.8742209632,2.00630168E-09,0.009785073204,0.6036036036,0.9637070642,0.7052631579,0.9441269841,0.7052631579,0.6036036036,0.6504854369,0.1257790368,0.07592067989,0.1076487252,0.7836553339,0.9832913489,0.7897435897,0.9830306639
dacc-temp,junin.temp_min,normal,local,3,C5.0,26.716,0.19,0.9218573046,0.5718411806,0.9083427776,0.9339492786,0.8742921857,0,0,0.490990991,0.9838082902,0.8134328358,0.9307598039,0.8134328358,0.490990991,0.6123595506,0.1257078143,0.0617214043,0.07587768969,0.7373996406,0.9664594163,0.5641025641,0.9866031557
dacc-temp,junin.temp_min,normal,local,2,C5.0,21.775,0.17,0.9207248018,0.5574124993,0.9071298717,0.9329012613,0.8742921857,2.659262465E-10,0,0.4684684685,0.9857512953,0.8253968254,0.9280487805,0.8253968254,0.4684684685,0.5977011494,0.1257078143,0.05889014723,0.07134767837,0.7271098819,0.9196581197,0.5538461538,0.9860119048
dacc-temp,junin.temp_min,normal,local,4,C5.0,31.782,0.17,0.9178470255,0.5293290053,0.9040469406,0.9302381737,0.8742209632,3.264899912E-09,0,0.4324324324,0.9876863253,0.8347826087,0.9236363636,0.8347826087,0.4324324324,0.5697329377,0.1257790368,0.05439093484,0.06515580737,0.7100593789,0.9637731773,0.5102564103,0.9934504317
dacc,junin.temp_min,normal,all,2,rf,1913.955,0.17,0.933182333,0.6532230151,0.9205167496,0.9443840814,0.8742921857,4.05E-16,6.65E-09,0.5900900901,0.9825129534,0.8291139241,0.9434079602,0.8291139241,0.5900900901,0.6894736842,0.1257078143,0.07417893545,0.08946772367,0.7863015217,1,1,1
dacc-temp,junin.temp_min,normal,local,3,rf,306.33,0.22,0.9280860702,0.6340200971,0.915027891,0.9396991028,0.8742921857,0,1.653533212E-06,0.5900900901,0.9766839378,0.7844311377,0.9430894309,0.7844311377,0.5900900901,0.6735218509,0.1257078143,0.07417893545,0.09456398641,0.783387014,1,1,1
dacc,junin.temp_min,normal,local,2,glm,9.783,0.14,0.9359773371,0.6627013991,0.9235313006,0.9469483506,0.8742209632,0,0,0.5855855856,0.9863901491,0.8609271523,0.9429987608,0.8609271523,0.5855855856,0.6970509383,0.1257790368,0.07365439093,0.08555240793,0.7859878673,0.9717353303,0.6615384615,0.9749925573
dacc-temp,junin.temp_min,normal,local,2,rf,228.456,0.2,0.929218573,0.6366482426,0.9162460717,0.9407417918,0.8742921857,0,2.129326989E-07,0.5855855856,0.978626943,0.7975460123,0.9426076107,0.7975460123,0.5855855856,0.6753246753,0.1257078143,0.07361268403,0.09229898075,0.7821062643,1,1,1
dacc-temp,junin.temp_min,smote,local,4,rpart,17.206,0.33,0.9252124646,0.6865245097,0.9119366503,0.9370527626,0.8742209632,0,0.0001820755612,0.8018018018,0.9429682437,0.6691729323,0.9706470981,0.6691729323,0.8018018018,0.7295081967,0.1257790368,0.1008498584,0.1507082153,0.8723850227,0.9448248487,0.8769230769,0.9115808276
dacc-temp,junin.temp_min,smote,local,1,C5.0,74.327,0.35,0.9212910532,0.6762607386,0.9077362298,0.9334253657,0.8742921857,1.574048203E-10,4.644865897E-06,0.8108108108,0.9371761658,0.6498194946,0.9717931498,0.6498194946,0.8108108108,0.7214428858,0.1257078143,0.1019252548,0.1568516421,0.8739934883,0.9670347653,0.9051282051,0.9241297233
dacc-temp,junin.temp_min,smote,local,3,C5.0,41.074,0.41,0.9054360136,0.6364042085,0.8908238755,0.9186841817,0.8742921857,2.488741253E-05,0,0.8378378378,0.9151554404,0.5867507886,0.9751552795,0.5867507886,0.8378378378,0.6901669759,0.1257078143,0.1053227633,0.1795016988,0.8764966391,0.9734929504,0.9717948718,0.9190235189
dacc-temp,junin.temp_min,smote,local,2,C5.0,34.119,0.45,0.8935447339,0.6243556497,0.8782177486,0.9075495269,0.8742921857,0.007126218199,0,0.9144144144,0.8905440415,0.5456989247,0.9863701578,0.5456989247,0.9144144144,0.6835016835,0.1257078143,0.1149490374,0.2106455266,0.9024792279,0.9697042888,0.9769230769,0.8892857143
dacc-temp,junin.temp_min,normal,local,1,rf,105.31,0.24,0.9252548131,0.6220573548,0.9119861574,0.9370886228,0.8742921857,0,9.038611911E-06,0.5855855856,0.9740932642,0.7647058824,0.9423558897,0.7647058824,0.5855855856,0.6632653061,0.1257078143,0.07361268403,0.09626274066,0.7798394249,1,1,1
dacc,junin.temp_min,normal,local,4,glm,4.068,0.14,0.9359773371,0.6627013991,0.9235313006,0.9469483506,0.8742209632,1.08E-17,4.55E-11,0.5855855856,0.9863901491,0.8609271523,0.9429987608,0.8609271523,0.5855855856,0.6970509383,0.1257790368,0.07365439093,0.08555240793,0.7859878673,0.9717353303,0.6615384615,0.9749925573
dacc-temp,junin.temp_min,smote,local,4,C5.0,34.039,0.44,0.8934844193,0.5817820205,0.8781493449,0.9074967545,0.8742209632,0.007124323977,3.472705604E-09,0.7612612613,0.9125081011,0.5559210526,0.9637234771,0.5559210526,0.7612612613,0.6425855513,0.1257790368,0.09575070822,0.1722379603,0.8368846812,0.9762093419,0.9615384615,0.9333134862
dacc-temp,junin.temp_min,smote,local,3,rpart,15.167,0.53,0.8595696489,0.5574274755,0.8424853271,0.8754492996,0.8742921857,0.9699501255,0,0.9594594595,0.8452072539,0.4712389381,0.9931506849,0.4712389381,0.9594594595,0.6320474777,0.1257078143,0.1206115515,0.2559456399,0.9023333567,0.8945588202,0.9692307692,0.8198868711
dacc-temp,junin.temp_min,smote,local,1,rpart,17.297,0.53,0.8584371461,0.556229671,0.841300378,0.8743731266,0.8742921857,0.9782515888,0,0.963963964,0.8432642487,0.4692982456,0.9938931298,0.4692982456,0.963963964,0.6312684366,0.1257078143,0.1211778029,0.2582106455,0.9036141063,0.8945555734,0.9717948718,0.8173162749
dacc-temp,junin.temp_min,smote,local,2,rpart,14.468,0.54,0.8550396376,0.5503590396,0.8377476241,0.8711425038,0.8742921857,0.992524739,0,0.9684684685,0.8387305699,0.463362069,0.9946236559,0.463362069,0.9684684685,0.6268221574,0.1257078143,0.1217440544,0.2627406569,0.9035995192,0.8911973443,0.9743589744,0.8080357143
dacc,tunuyan.temp_min,smote,local,2,rf,6832.101,0.21,0.8912181303,0.754928123,0.8757534396,0.9053680014,0.6872521246,1.37E-91,2.72E-06,0.8858695652,0.8936521022,0.7912621359,0.9450741064,0.7912621359,0.8858695652,0.8358974359,0.3127478754,0.2770538244,0.3501416431,0.8897608337,0.998994533,1,0.9881129272
dacc-temp,junin.temp_min,normal,local,3,glm,8.645,0.17,0.9314835787,0.6420442172,0.9186850868,0.9428244877,0.8742921857,0,1.97317529E-09,0.5765765766,0.9825129534,0.8258064516,0.9416511484,0.8258064516,0.5765765766,0.6790450928,0.1257078143,0.0724801812,0.08776896942,0.779544765,0.9644285158,0.6025641026,0.9764810956
dacc,junin.temp_min,smote,local,3,rpart,13.882,0.32,0.9297848245,0.7086568499,0.9168554901,0.9412628048,0.8742921857,2.33E-14,1.08E-05,0.8333333333,0.9436528497,0.6801470588,0.9752342704,0.6801470588,0.8333333333,0.7489878543,0.1257078143,0.1047565119,0.1540203851,0.8884930915,0.9406661018,0.8974358974,0.9086037511
dacc-temp,junin.temp_min,normal,local,4,rf,1262.178,0.19,0.9297450425,0.6339558392,0.9168087117,0.9412293312,0.8742209632,0,5.309417764E-09,0.5720720721,0.9812054439,0.8141025641,0.9409571162,0.8141025641,0.5720720721,0.671957672,0.1257790368,0.07195467422,0.08838526912,0.776638758,1,1,1
dacc,junin.temp_min,smote,local,4,rpart,15.215,0.46,0.8917847025,0.603495343,0.8763522289,0.9059003779,0.8742209632,0.013,2.9E-19,0.8513513514,0.8976020739,0.5446685879,0.9767277856,0.5446685879,0.8513513514,0.6643233743,0.1257790368,0.107082153,0.1966005666,0.8744767126,0.9413458676,0.9256410256,0.8707948794
dacc,junin.temp_min,normal,local,1,glm,9.23,0.15,0.9326160815,0.6416114982,0.9199059613,0.9438644534,0.8742921857,0,0,0.5630630631,0.9857512953,0.8503401361,0.9400864731,0.8503401361,0.5630630631,0.6775067751,0.1257078143,0.07078142695,0.0832389581,0.7744071792,0.9713849513,0.658974359,0.9764810956
dacc,junin.temp_min,smote,all,3,rpart,30.226,0.43,0.9031710079,0.6439440565,0.8884179836,0.9165680551,0.8742921857,8.96E-05,1.06E-20,0.8918918919,0.9047927461,0.5739130435,0.9831104856,0.5739130435,0.8918918919,0.6984126984,0.1257078143,0.1121177803,0.1953567384,0.898342319,0.9455927817,0.9435897436,0.9047335517
dacc,junin.temp_min,normal,local,3,glm,3.7,0.15,0.9326160815,0.6416114982,0.9199059613,0.9438644534,0.8742921857,8.14E-16,1.17E-11,0.5630630631,0.9857512953,0.8503401361,0.9400864731,0.8503401361,0.5630630631,0.6775067751,0.1257078143,0.07078142695,0.0832389581,0.7744071792,0.9713849513,0.658974359,0.9764810956
dacc,junin.temp_min,smote,all,4,rpart,36.077,0.41,0.9082152975,0.647829557,0.8937749123,0.9212810916,0.8742209632,4.34E-06,8.4E-14,0.8513513514,0.9163966299,0.5943396226,0.9771941949,0.5943396226,0.8513513514,0.7,0.1257790368,0.107082153,0.1801699717,0.8838739906,0.9499167945,0.9487179487,0.9148556118
dacc-temp,junin.temp_min,normal,local,2,glm,8.266,0.18,0.9286523216,0.6247596948,0.9156368728,0.940220557,0.8742921857,0,7.89578676E-10,0.5585585586,0.981865285,0.8157894737,0.9392812887,0.8157894737,0.5585585586,0.6631016043,0.1257078143,0.07021517554,0.08607021518,0.7702119218,0.9643513431,0.6051282051,0.9761904762
dacc,junin.temp_min,normal,local,3,rpart,3.017,0.21,0.9218573046,0.5815596992,0.9083427776,0.9339492786,0.8742921857,9.25E-11,5.58E-11,0.5135135135,0.9805699482,0.7916666667,0.9334155364,0.7916666667,0.5135135135,0.6229508197,0.1257078143,0.06455266138,0.08154020385,0.7470417309,0.9770475035,0.7820512821,0.9836260792
dacc-temp,junin.temp_min,normal,local,1,glm,7.658,0.2,0.9269535674,0.6166799592,0.9138105692,0.9386555457,0.8742921857,0,2.136598855E-09,0.5540540541,0.9805699482,0.8039215686,0.9386236826,0.8039215686,0.5540540541,0.656,0.1257078143,0.06964892412,0.08663646659,0.7673120011,0.9632542207,0.6025641026,0.9776852127
dacc,junin.temp_min,normal,local,4,rpart,3.137,0.22,0.9229461756,0.5967503494,0.9095055819,0.9349594651,0.8742209632,3.11E-11,9.18E-09,0.5405405405,0.9779650032,0.7792207792,0.9366852886,0.7792207792,0.5405405405,0.6382978723,0.1257790368,0.06798866856,0.08725212465,0.7592527719,0.9776207815,0.8051282051,0.981244418
dacc,junin.temp_min,normal,local,1,rf,1824.133,0.15,0.9235560589,0.5722068107,0.9101635787,0.9355198483,0.8742921857,0,0,0.4774774775,0.9876943005,0.848,0.9293113955,0.848,0.4774774775,0.6109510086,0.1257078143,0.06002265006,0.07078142695,0.732585889,1,1,1
dacc,junin.temp_min,normal,all,3,rpart,5.533,0.23,0.9246885617,0.6167297079,0.9113784303,0.9365659009,0.8742921857,5.75E-12,2.84E-06,0.5765765766,0.9747409326,0.7664670659,0.9412132583,0.7664670659,0.5765765766,0.6580976864,0.1257078143,0.0724801812,0.09456398641,0.7756587546,0.9343524095,0.7564102564,0.9877939863
dacc,junin.temp_min,normal,local,2,rf,2321.41,0.13,0.9246458924,0.5724360644,0.9113285827,0.9365297417,0.8742209632,0,0,0.4684684685,0.9902786779,0.8739495798,0.9283110571,0.8739495798,0.4684684685,0.6099706745,0.1257790368,0.05892351275,0.06742209632,0.7293735732,1,1,1
dacc,junin.temp_min,normal,all,4,rpart,6.878,0.24,0.9257790368,0.6272907959,0.9125449217,0.9375755776,0.8742209632,1.79E-12,2.74E-05,0.5945945946,0.9734283863,0.7630057803,0.9434673367,0.7630057803,0.5945945946,0.6683544304,0.1257790368,0.07478753541,0.09801699717,0.7840114904,0.9346535523,0.7769230769,0.9866031557
dacc,tunuyan.temp_min,smote,local,3,C5.0,118.434,0.28,0.8091732729,0.54028108,0.7900553491,0.8272580346,0.6874292186,5.35E-31,0.000212,0.6322463768,0.8896210873,0.7225672878,0.841777085,0.7225672878,0.6322463768,0.6743961353,0.3125707814,0.1976217441,0.2734994337,0.7609337321,0.9762919249,0.9649952696,0.9583952452
dacc,tunuyan.temp_min,smote,local,3,glm,50.098,0.18,0.9043035108,0.7819469549,0.889620638,0.9176264122,0.6874292186,2.08E-105,0.00123,0.8858695652,0.9126853377,0.8218487395,0.9461998292,0.8218487395,0.8858695652,0.8526591107,0.3125707814,0.2768969422,0.3369195923,0.8992774515,0.9546647202,0.885525071,0.9045319465
dacc,tunuyan.temp_min,smote,local,3,rpart,45.052,0.2,0.8884484711,0.7453271199,0.8728327375,0.9027597931,0.6874292186,9.5E-89,0.00678,0.856884058,0.902800659,0.8003384095,0.9327659574,0.8003384095,0.856884058,0.8276465442,0.3125707814,0.2678369196,0.3346545866,0.8798423585,0.9537492216,0.9016083254,0.9253343239
dacc,tunuyan.temp_min,smote,local,4,C5.0,140.92,0.22,0.8696883853,0.701283755,0.8530838904,0.8850527183,0.6872521246,1.32E-71,0.0559,0.8188405797,0.8928276999,0.7766323024,0.9154691462,0.7766323024,0.8188405797,0.7971781305,0.3127478754,0.2560906516,0.3297450425,0.8558341398,0.9839394133,0.9772942289,0.9673105498
dacc,tunuyan.temp_min,smote,local,4,glm,59.469,0.18,0.9025495751,0.7783372446,0.8877538356,0.9159907509,0.6872521246,1.53E-103,0.000601,0.8858695652,0.9101401484,0.8177257525,0.9460154242,0.8177257525,0.8858695652,0.8504347826,0.3127478754,0.2770538244,0.3388101983,0.8980048568,0.9551978531,0.8789025544,0.9026745914
dacc,tunuyan.temp_min,smote,local,4,rpart,52.738,0.18,0.8957507082,0.761027004,0.8805472773,0.9096234667,0.6872521246,3.04E-96,0.0325,0.8605072464,0.911788953,0.8161512027,0.9349112426,0.8161512027,0.8605072464,0.8377425044,0.3127478754,0.269121813,0.3297450425,0.8861480997,0.9429415936,0.8959318827,0.9153046062
dacc,tunuyan.temp_min,smote,all,3,C5.0,403.64,0.26,0.8335220838,0.6079609293,0.8153147549,0.8506136789,0.6874292186,7.97E-45,0.18,0.7119565217,0.8887973641,0.7443181818,0.8715670436,0.7443181818,0.7119565217,0.7277777778,0.3125707814,0.2225368063,0.2989807475,0.8003769429,0.988452593,0.9772942289,0.9721396731
dacc,tunuyan.temp_min,smote,all,3,glm,163.036,0.16,0.8952434881,0.7539237677,0.8800150001,0.9091438418,0.6874292186,1.23E-95,0.1857069388,0.8152173913,0.931630972,0.8442776735,0.9172749392,0.8442776735,0.8152173913,0.8294930876,0.3125707814,0.254813137,0.3018120045,0.8734241816,0.9613174605,0.8883632923,0.9108469539
dacc,tunuyan.temp_min,smote,all,3,rpart,141.114,0.18,0.8873159683,0.7379153684,0.871637399,0.9016940684,0.6874292186,1.23E-87,1,0.8206521739,0.9176276771,0.8191681736,0.9183841715,0.8191681736,0.8206521739,0.8199095023,0.3125707814,0.2565118913,0.3131370328,0.8691399255,0.9321573364,0.8751182592,0.9275631501
dacc,tunuyan.temp_min,smote,all,4,C5.0,473.443,0.3,0.8322946176,0.6246925358,0.8140329684,0.849444071,0.6872521246,4.03E-44,4.39E-06,0.8043478261,0.845012366,0.7025316456,0.9046778464,0.7025316456,0.8043478261,0.75,0.3127478754,0.2515580737,0.3580736544,0.8246800961,0.9913635622,0.9697256386,0.9739970282
dacc,tunuyan.temp_min,smote,all,4,glm,203.671,0.14,0.8923512748,0.7435032553,0.8769511424,0.9064326295,0.6872521246,9.74E-93,0.00065,0.7844202899,0.9414674361,0.8591269841,0.905630452,0.8591269841,0.7844202899,0.8200757576,0.3127478754,0.245325779,0.2855524079,0.862943863,0.9618333729,0.8864711447,0.9160475483
dacc,tunuyan.temp_min,smote,all,4,rpart,172.529,0.18,0.8872521246,0.7386214549,0.8715653182,0.9016379391,0.6872521246,1.19E-87,0.671,0.8260869565,0.9150865622,0.8157423971,0.92039801,0.8157423971,0.8260869565,0.8208820882,0.3127478754,0.2583569405,0.316713881,0.8705867594,0.9317066159,0.8770104068,0.9346210996
dacc,tunuyan.temp_min,normal,local,3,C5.0,5.918,0.18,0.8878822197,0.7396180218,0.8722350091,0.9022269903,0.6874292186,3.43E-88,0.8311704095,0.8242753623,0.9168039539,0.8183453237,0.9198347107,0.8183453237,0.8242753623,0.821299639,0.3125707814,0.2576443941,0.3148357871,0.8705396581,0.9587398311,0.8609271523,0.9453937593
dacc,tunuyan.temp_min,normal,local,3,glm,3.335,0.14,0.9065685164,0.7807452509,0.8920277055,0.9197413541,0.6874292186,5.8E-108,0.2129119028,0.8351449275,0.9390444811,0.861682243,0.9260763607,0.861682243,0.8351449275,0.8482060718,0.3125707814,0.2610419026,0.3029445074,0.8870947043,0.9548520372,0.8363292337,0.9290490342
dacc,tunuyan.temp_min,normal,local,3,rpart,3.044,0.17,0.8952434881,0.7558713862,0.8800150001,0.9091438418,0.6874292186,1.23E-95,0.8830981397,0.8297101449,0.9250411862,0.8342440801,0.9227608874,0.8342440801,0.8297101449,0.8319709355,0.3125707814,0.2593431484,0.3108720272,0.8773756655,0.9553059206,0.8779564806,0.9453937593
dacc,tunuyan.temp_min,normal,local,4,C5.0,7.354,0.2,0.8940509915,0.7591224468,0.8787486357,0.9080286262,0.6872521246,1.77E-94,0.0007686242903,0.8731884058,0.9035449299,0.8046744574,0.9399656947,0.8046744574,0.8731884058,0.8375325804,0.3127478754,0.2730878187,0.3393767705,0.8883666679,0.9428769289,0.8997161779,0.9201337296
dacc,tunuyan.temp_min,normal,local,4,glm,3.883,0.14,0.9082152975,0.7860618866,0.8937749123,0.9212810916,0.6872521246,6.29E-110,0.814,0.8496376812,0.9348722176,0.8558394161,0.931799507,0.8558394161,0.8496376812,0.8527272727,0.3127478754,0.2657223796,0.3104815864,0.8922549494,0.955694085,0.8278145695,0.9283060921
dacc,tunuyan.temp_min,normal,local,4,rpart,3.459,0.17,0.8900849858,0.7438025062,0.8745562296,0.9043028771,0.6872521246,1.88E-90,0.8294652557,0.8206521739,0.9216817807,0.8266423358,0.918652424,0.8266423358,0.8206521739,0.8236363636,0.3127478754,0.2566572238,0.3104815864,0.8711669773,0.952771694,0.8864711447,0.9353640416
dacc,tunuyan.temp_min,normal,all,3,C5.0,24.52,0.18,0.892412231,0.752093837,0.8770202154,0.9064860115,0.6874292186,1.01E-92,0.168078319,0.8460144928,0.913509061,0.8164335664,0.9288107203,0.8164335664,0.8460144928,0.8309608541,0.3125707814,0.2644394111,0.3238958097,0.8797617769,0.9592327243,0.8618732261,0.9453937593
